 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,Sampe/Class
6:05:10 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.06,3.6,4.34,0.83,3.59,3.56,0.97,9.85,16.12,2.3,4.42,52.31,1.96,70.43,Coffee 1
6:05:11 PM,27-05-23,27.3,30,0.78,0.54,0.38,2.09,3.63,4.08,0.83,3.68,3.42,0.98,10.03,16.12,2.25,4.42,53.06,1.94,69,Coffee 1
6:05:11 PM,27-05-23,27.3,30,0.78,0.54,0.41,2.1,3.57,4.53,0.87,3.53,3.32,0.98,10.16,16.66,2.28,4.37,51.87,1.95,71.3,Coffee 1
6:05:12 PM,27-05-23,27.3,30,0.78,0.54,0.39,2.11,3.62,4.12,0.87,3.66,3.44,1,10,16.85,2.28,4.35,52.54,1.97,70,Coffee 1
6:05:12 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.07,3.6,3.98,0.84,3.72,3.59,0.99,9.82,17.12,2.28,4.32,52.17,1.97,70.72,Coffee 1
6:05:13 PM,27-05-23,27.3,30,0.78,0.54,0.38,2.1,3.63,4.41,0.83,3.56,3.49,0.94,9.94,16.03,2.24,4.43,52.24,1.96,70.58,Coffee 1
6:05:13 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.09,3.6,4.53,0.86,3.53,3.44,0.99,10,16.85,2.27,4.35,51.95,1.94,71.16,Coffee 1
6:05:14 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.1,3.6,4.34,0.82,3.59,3.3,0.99,10.19,16.03,2.29,4.43,52.83,1.97,69.43,Coffee 1
6:05:14 PM,27-05-23,27.3,30,0.78,0.54,0.42,2.09,3.55,4.26,0.83,3.61,3.42,1,10.03,16.75,2.29,4.36,52.61,1.96,69.85,Coffee 1
6:05:15 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.1,3.6,4.05,0.87,3.69,3.51,1,9.91,16.57,2.28,4.38,52.76,1.94,69.57,Coffee 1
6:05:16 PM,27-05-23,27.3,30,0.78,0.54,0.41,2.06,3.57,4.6,0.83,3.5,3.56,0.97,9.85,16.3,2.29,4.4,52.91,1.95,69.28,Coffee 1
6:05:16 PM,27-05-23,27.3,30,0.78,0.54,0.41,2.09,3.57,4.64,0.83,3.49,3.47,1,9.97,15.68,2.26,4.46,52.61,1.96,69.85,Coffee 1
6:05:17 PM,27-05-23,27.3,29,0.78,0.54,0.37,2.09,3.67,4.37,0.87,3.58,3.64,0.99,9.76,16.94,2.3,4.34,52.76,1.97,69.57,Coffee 1
6:05:17 PM,27-05-23,27.3,29,0.78,0.53,0.38,2.06,3.65,4.19,0.87,3.64,3.59,0.97,9.82,16.12,2.29,4.42,52.02,1.96,71.01,Coffee 1
6:05:18 PM,27-05-23,27.3,29,0.78,0.54,0.39,2.11,3.62,4.34,0.85,3.59,3.66,1,9.73,15.86,2.25,4.45,52.54,1.95,70,Coffee 1
6:05:18 PM,27-05-23,27.3,29,0.78,0.54,0.4,2.07,3.58,4.49,0.87,3.54,3.54,0.96,9.88,16.12,2.27,4.42,52.61,1.93,69.85,Coffee 1
6:05:19 PM,27-05-23,27.3,29,0.78,0.54,0.4,2.11,3.59,4.37,0.83,3.58,3.37,0.96,10.1,16.03,2.28,4.43,52.31,1.95,70.43,Coffee 1
6:05:19 PM,27-05-23,27.3,29,0.78,0.54,0.42,2.07,3.53,4.37,0.87,3.58,3.59,0.95,9.82,16.12,2.23,4.42,52.69,1.94,69.71,Coffee 1
6:05:20 PM,27-05-23,27.3,29,0.78,0.54,0.41,2.12,3.57,4.37,0.86,3.58,3.37,1,10.1,15.86,2.25,4.45,52.17,1.96,70.72,Coffee 1
6:05:20 PM,27-05-23,27.3,29,0.78,0.54,0.4,2.12,3.59,4.34,0.87,3.59,3.59,0.96,9.82,15.68,2.26,4.46,52.39,1.96,70.29,Coffee 1
6:05:21 PM,27-05-23,27.3,29,0.78,0.54,0.41,2.12,3.57,4.19,0.85,3.64,3.47,0.95,9.97,16.48,2.3,4.39,52.69,1.97,69.71,Coffee 1
6:05:21 PM,27-05-23,27.3,29,0.78,0.54,0.39,2.07,3.62,4.56,0.87,3.52,3.47,0.98,9.97,15.86,2.26,4.45,52.69,1.96,69.71,Coffee 1
6:05:22 PM,27-05-23,27.3,29,0.78,0.54,0.4,2.11,3.6,4.37,0.86,3.58,3.47,0.96,9.97,15.77,2.27,4.45,53.13,1.97,68.86,Coffee 1
6:05:22 PM,27-05-23,27.3,29,0.78,0.54,0.4,2.12,3.59,4.6,0.83,3.5,3.32,0.95,10.16,16.21,2.29,4.41,52.83,1.96,69.43,Coffee 1
6:05:23 PM,27-05-23,27.3,30,0.78,0.54,0.38,2.1,3.64,4.3,0.83,3.6,3.44,0.99,10,15.43,2.23,4.49,52.69,1.95,69.71,Coffee 1
