 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,,,,,
6:09:23 PM,27-05-23,27.4,30,0.81,0.54,0.39,1.99,3.63,4.53,0.8,3.53,3.39,0.96,10.07,16.08,2.27,4.42,52.5,1.96,70.07,,,,,
6:09:23 PM,27-05-23,27.4,30,0.81,0.54,0.41,1.97,3.57,4.26,0.8,3.61,3.48,0.94,9.95,15.73,2.25,4.46,52.95,1.95,69.21,,,,,
6:09:24 PM,27-05-23,27.4,30,0.81,0.54,0.37,2.01,3.66,4.22,0.82,3.63,3.29,0.98,10.2,15.9,2.25,4.44,52.5,1.93,70.07,,,,,
6:09:24 PM,27-05-23,27.4,30,0.81,0.54,0.41,2.01,3.57,4.61,0.8,3.5,3.39,0.94,10.07,16.8,2.24,4.35,52.28,1.93,70.5,,,,,
6:09:25 PM,27-05-23,27.4,30,0.81,0.54,0.38,1.99,3.64,4.04,0.84,3.69,3.58,0.99,9.83,16.71,2.23,4.36,53.02,1.96,69.07,,,,,
6:09:25 PM,27-05-23,27.4,30,0.81,0.54,0.38,1.97,3.64,4.18,0.83,3.64,3.46,0.94,9.98,16.25,2.24,4.41,52.35,1.94,70.36,,,,,
6:09:26 PM,27-05-23,27.4,30,0.81,0.54,0.39,2.01,3.62,4.22,0.79,3.63,3.58,0.97,9.83,16.34,2.25,4.4,52.5,1.92,70.07,,,,,
6:09:26 PM,27-05-23,27.4,30,0.81,0.54,0.41,1.98,3.56,4.15,0.79,3.65,3.63,0.97,9.77,16.89,2.26,4.35,53.02,1.95,69.07,,,,,
6:09:27 PM,27-05-23,27.4,30,0.81,0.54,0.39,2.01,3.61,4.41,0.83,3.56,3.44,0.97,10.01,16.62,2.28,4.37,53.1,1.93,68.93,,,,,
6:09:28 PM,27-05-23,27.4,30,0.81,0.54,0.39,2,3.62,4.22,0.83,3.63,3.29,0.98,10.2,16.99,2.28,4.34,53.02,1.93,69.07,,,,,
6:09:28 PM,27-05-23,27.4,30,0.81,0.54,0.4,2.02,3.59,4.45,0.82,3.55,3.46,1.01,9.98,16.17,2.25,4.42,52.87,1.92,69.35,,,,,
