 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,,,,,
6:05:10 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.06,3.6,4.34,0.83,3.59,3.56,0.97,9.85,16.12,2.3,4.42,52.31,1.96,70.43,,,,,
6:05:11 PM,27-05-23,27.3,30,0.78,0.54,0.38,2.09,3.63,4.08,0.83,3.68,3.42,0.98,10.03,16.12,2.25,4.42,53.06,1.94,69,,,,,
6:05:11 PM,27-05-23,27.3,30,0.78,0.54,0.41,2.1,3.57,4.53,0.87,3.53,3.32,0.98,10.16,16.66,2.28,4.37,51.87,1.95,71.3,,,,,
6:05:12 PM,27-05-23,27.3,30,0.78,0.54,0.39,2.11,3.62,4.12,0.87,3.66,3.44,1,10,16.85,2.28,4.35,52.54,1.97,70,,,,,
6:05:12 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.07,3.6,3.98,0.84,3.72,3.59,0.99,9.82,17.12,2.28,4.32,52.17,1.97,70.72,,,,,
6:05:13 PM,27-05-23,27.3,30,0.78,0.54,0.38,2.1,3.63,4.41,0.83,3.56,3.49,0.94,9.94,16.03,2.24,4.43,52.24,1.96,70.58,,,,,
6:05:13 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.09,3.6,4.53,0.86,3.53,3.44,0.99,10,16.85,2.27,4.35,51.95,1.94,71.16,,,,,
6:05:14 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.1,3.6,4.34,0.82,3.59,3.3,0.99,10.19,16.03,2.29,4.43,52.83,1.97,69.43,,,,,
6:05:14 PM,27-05-23,27.3,30,0.78,0.54,0.42,2.09,3.55,4.26,0.83,3.61,3.42,1,10.03,16.75,2.29,4.36,52.61,1.96,69.85,,,,,
6:05:15 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.1,3.6,4.05,0.87,3.69,3.51,1,9.91,16.57,2.28,4.38,52.76,1.94,69.57,,,,,
6:05:16 PM,27-05-23,27.3,30,0.78,0.54,0.41,2.06,3.57,4.6,0.83,3.5,3.56,0.97,9.85,16.3,2.29,4.4,52.91,1.95,69.28,,,,,
