 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,,,,,
5:05:22 AM,22-07-23,22.3,21,0.2,0.55,0.41,1.64,3.56,3.78,0.81,3.79,4.48,0.54,8.89,16.7,1.64,4.36,52.3,1.25,70.47,,,,,
5:05:22 AM,22-07-23,22.3,21,0.2,0.54,0.4,1.66,3.6,4.59,0.82,3.51,2.85,0.6,10.9,17.22,1.63,4.32,52.3,1.29,70.47,,,,,
5:05:23 AM,22-07-23,22.3,21,0.2,0.54,0.41,1.62,3.58,4.29,0.91,3.6,3.51,0.63,9.91,16.91,1.66,4.34,51.75,1.31,71.55,,,,,
5:05:23 AM,22-07-23,22.3,21,0.2,0.55,0.39,1.66,3.62,4.19,0.84,3.64,3.55,0.63,9.87,16.29,1.58,4.4,52.21,1.27,70.65,,,,,
5:05:24 AM,22-07-23,22.2,21,0.2,0.54,0.43,1.69,3.53,4.29,0.89,3.6,3.06,0.64,10.55,16.49,1.68,4.38,52.75,1.33,69.59,,,,,
5:05:24 AM,22-07-23,22.2,21,0.2,0.54,0.39,1.69,3.62,4.22,0.89,3.63,2.64,0.62,11.26,17.01,1.63,4.34,52.84,1.33,69.41,,,,,
5:05:25 AM,22-07-23,22.2,21,0.2,0.54,0.41,1.69,3.56,4.26,0.87,3.62,3.79,0.65,9.57,16.91,1.64,4.34,51.75,1.4,71.55,,,,,
5:05:25 AM,22-07-23,22.2,21,0.2,0.54,0.42,1.67,3.55,3.65,0.84,3.85,3.51,0.59,9.91,16.8,1.64,4.35,51.84,1.29,71.36,,,,,
5:05:26 AM,22-07-23,22.2,21,0.2,0.54,0.42,1.68,3.54,4.26,0.82,3.62,3.45,0.64,10,16.49,1.63,4.38,51.57,1.3,71.91,,,,,
5:05:26 AM,22-07-23,22.2,21,0.2,0.54,0.39,1.68,3.62,4.7,0.92,3.47,3.72,0.64,9.66,17.12,1.66,4.33,52.57,1.32,69.94,,,,,
5:05:27 AM,22-07-23,22.2,21,0.2,0.54,0.43,1.66,3.52,4.47,0.8,3.54,3.35,0.59,10.13,17.65,1.61,4.28,52.75,1.31,69.59,,,,,
5:05:27 AM,22-07-23,22.2,21,0.2,0.55,0.44,1.64,3.5,3.88,0.9,3.75,3.48,0.64,9.95,16.6,1.62,4.37,52.57,1.3,69.94,,,,,
5:05:28 AM,22-07-23,22.1,21,0.2,0.54,0.45,1.69,3.47,4.15,1.01,3.65,3.48,0.76,9.95,16.91,1.61,4.34,52.66,1.32,69.76,,,,,
5:05:28 AM,22-07-23,22.1,21,0.2,0.55,0.39,1.69,3.62,4.51,0.86,3.53,3.55,0.63,9.87,15.69,1.69,4.46,53.12,1.3,68.89,,,,,
