 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,,,,,
5:26:23 AM,22-07-23,25.5,22,0.63,0.55,0.51,3.26,3.35,4.4,1.9,3.57,3.35,1.45,10.12,16.83,2.04,4.35,53.9,1.93,67.45,,,,,
5:26:24 AM,22-07-23,25.5,22,0.63,0.55,0.52,3.26,3.34,4.14,1.93,3.66,3.87,1.44,9.49,16.09,2.05,4.42,53.44,1.92,68.29,,,,,
5:26:24 AM,22-07-23,25.5,22,0.63,0.54,0.5,3.21,3.38,4.82,1.95,3.44,3.89,1.52,9.47,18.01,2.06,4.25,55.91,2,63.95,,,,,
5:26:25 AM,22-07-23,25.5,22,0.63,0.54,0.58,3.26,3.23,4.72,1.96,3.47,4.1,1.51,9.25,18.21,2.13,4.23,57.09,2.03,62.03,,,,,
5:26:25 AM,22-07-23,25.6,22,0.63,0.54,0.5,3.25,3.37,4.4,1.95,3.57,4.27,1.52,9.08,19.26,2.08,4.15,56.62,2.04,62.79,,,,,
5:26:26 AM,22-07-23,25.6,22,0.63,0.55,0.52,3.27,3.33,5.1,1.94,3.36,4.23,1.52,9.12,18.11,2.12,4.24,57.89,2.11,60.79,,,,,
5:26:26 AM,22-07-23,25.6,22,0.63,0.54,0.53,3.31,3.31,4.75,1.95,3.46,4.73,1.54,8.67,18.94,2.14,4.17,58.62,2.03,59.7,,,,,
5:26:27 AM,22-07-23,25.6,22,0.63,0.55,0.49,3.27,3.38,4.38,1.96,3.58,5.1,1.63,8.38,19.92,2.1,4.1,59.84,2.11,57.93,,,,,
5:26:27 AM,22-07-23,25.6,22,0.63,0.54,0.53,3.27,3.31,5.47,1.97,3.27,5.3,1.61,8.23,19.59,2.09,4.12,58.86,2.14,59.34,,,,,
5:26:28 AM,22-07-23,25.6,22,0.63,0.55,0.54,3.26,3.29,4.94,1.94,3.4,5.52,1.62,8.09,20.83,2.14,4.03,60.51,2.15,57.01,,,,,
5:26:28 AM,22-07-23,25.6,22,0.63,0.54,0.53,3.24,3.31,4.75,1.95,3.46,5.63,1.67,8.02,20.26,2.07,4.07,60.92,2.14,56.44,,,,,
5:26:29 AM,22-07-23,25.6,22,0.63,0.55,0.49,3.24,3.39,4.94,1.91,3.4,6.05,1.67,7.76,21.66,2.13,3.98,60.17,2.17,57.47,,,,,
5:26:30 AM,22-07-23,25.6,22,0.63,0.55,0.48,3.24,3.41,4.99,1.97,3.39,5.52,1.67,8.09,21.18,2.12,4.01,60.76,2.16,56.67,,,,,
5:26:30 AM,22-07-23,25.6,22,0.63,0.54,0.46,3.26,3.45,4.72,1.97,3.47,5.52,1.52,8.09,21.18,2.13,4.01,61.85,2.16,55.22,,,,,
5:26:31 AM,22-07-23,25.6,22,0.63,0.54,0.5,3.26,3.37,4.97,2.03,3.4,4.92,1.6,8.52,22.02,2.14,3.95,61.68,2.18,55.44,,,,,
5:26:31 AM,22-07-23,25.6,22,0.63,0.54,0.47,3.23,3.43,4.29,1.99,3.61,4.95,1.6,8.5,21.42,2.14,3.99,62.02,2.18,55,,,,,
5:26:32 AM,22-07-23,25.6,22,0.63,0.54,0.39,3.17,3.62,4.58,1.85,3.51,4.75,1.64,8.65,21.66,2.14,3.98,62.78,2.19,54.03,,,,,
5:26:32 AM,22-07-23,25.6,22,0.63,0.54,0.41,3.2,3.55,4.89,1.96,3.42,4.7,1.57,8.69,22.39,2.17,3.93,62.7,2.19,54.13,,,,,
5:26:33 AM,22-07-23,25.6,22,0.63,0.54,0.37,3.17,3.67,4.67,1.98,3.48,4.87,1.55,8.55,23.67,2.15,3.85,63.39,2.12,53.28,,,,,
5:26:33 AM,22-07-23,25.6,22,0.63,0.54,0.38,3.16,3.65,4.99,1.92,3.39,4.66,1.59,8.73,23.02,2.15,3.89,63.47,2.22,53.18,,,,,
5:26:34 AM,22-07-23,25.6,22,0.63,0.54,0.36,3.18,3.69,5.23,1.95,3.33,4.9,1.62,8.54,22.02,2.16,3.95,63.04,2.22,53.71,,,,,
5:26:34 AM,22-07-23,25.6,22,0.63,0.54,0.36,3.13,3.71,4.77,1.97,3.45,4.52,1.57,8.85,23.02,2.16,3.89,62.78,2.22,54.03,,,,,
5:26:35 AM,22-07-23,25.6,22,0.63,0.54,0.32,3.12,3.81,4.94,1.98,3.4,5,1.53,8.46,22.39,2.18,3.93,62.1,2.22,54.89,,,,,
5:26:35 AM,22-07-23,25.6,22,0.63,0.54,0.33,3.13,3.8,4.97,1.93,3.4,5.57,1.61,8.05,19.59,2.15,4.12,63.3,2.23,53.39,,,,,
5:26:36 AM,22-07-23,25.6,22,0.63,0.54,0.3,3.15,3.9,5.02,1.96,3.38,5.17,1.61,8.33,22.39,2.13,3.93,63.39,2.22,53.28,,,,,
5:26:36 AM,22-07-23,25.6,22,0.63,0.54,0.31,3.08,3.86,5.15,1.98,3.35,5.1,1.6,8.38,26.14,2.16,3.72,63.21,2.22,53.49,,,,,
5:26:37 AM,22-07-23,25.6,22,0.63,0.54,0.31,3.05,3.85,4.44,1.99,3.55,4.82,1.6,8.59,21.9,2.17,3.96,63.3,2.24,53.39,,,,,
5:26:37 AM,22-07-23,25.6,22,0.63,0.54,0.32,3.01,3.81,5.41,1.97,3.28,5.05,1.52,8.42,22.89,2.16,3.9,64.43,2.24,52.03,,,,,
