 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,,,,,
5:11:15 AM,22-07-23,21.8,22,0.32,0.55,0.35,1.64,3.74,4.26,0.93,3.61,3.76,0.7,9.62,15.77,1.59,4.46,52.76,1.29,69.57,,,,,
5:11:15 AM,22-07-23,21.8,22,0.32,0.55,0.37,1.67,3.66,4.82,0.89,3.44,3.68,0.65,9.7,16.47,1.6,4.39,51.94,1.31,71.18,,,,,
5:11:16 AM,22-07-23,21.8,22,0.32,0.55,0.37,1.66,3.68,4.9,0.84,3.42,2.98,0.68,10.67,16.27,1.56,4.41,52.21,1.33,70.63,,,,,
5:11:16 AM,22-07-23,21.8,22,0.32,0.54,0.4,1.69,3.58,4.94,0.9,3.4,3.68,0.62,9.7,15.37,1.61,4.5,55.16,1.33,65.21,,,,,
5:11:17 AM,22-07-23,21.9,22,0.32,0.55,0.36,1.63,3.71,5.02,0.93,3.38,3.58,0.59,9.83,16.47,1.57,4.39,53.04,1.31,69.04,,,,,
5:11:17 AM,22-07-23,21.9,22,0.32,0.55,0.36,1.72,3.69,4.52,0.93,3.53,2.74,0.64,11.08,14.99,1.6,4.54,52.67,1.32,69.74,,,,,
5:11:18 AM,22-07-23,21.9,22,0.32,0.55,0.43,1.69,3.52,5.18,0.87,3.34,3.9,0.65,9.45,15.37,1.6,4.5,53.68,1.32,67.84,,,,,
5:11:18 AM,22-07-23,21.9,22,0.32,0.55,0.35,1.65,3.74,5.18,0.94,3.34,4.17,0.66,9.18,15.28,1.61,4.51,53.13,1.29,68.87,,,,,
5:11:19 AM,22-07-23,21.9,22,0.32,0.55,0.38,1.72,3.63,5.22,0.93,3.33,3.79,0.64,9.58,16.47,1.67,4.39,52.39,1.36,70.28,,,,,
5:11:19 AM,22-07-23,21.9,22,0.32,0.55,0.4,1.69,3.59,4.82,0.93,3.44,3.44,0.65,10.01,14.62,1.6,4.58,53.59,1.33,68.01,,,,,
5:11:20 AM,22-07-23,21.9,22,0.32,0.55,0.42,1.65,3.55,4.33,0.86,3.59,4.09,0.59,9.26,16.07,1.63,4.43,53.4,1.31,68.35,,,,,
5:11:20 AM,22-07-23,21.9,22,0.32,0.55,0.42,1.7,3.55,4.98,0.91,3.39,3.61,0.68,9.79,16.79,1.54,4.36,53.31,1.33,68.52,,,,,
5:11:21 AM,22-07-23,21.9,22,0.32,0.55,0.42,1.68,3.53,4.9,0.92,3.42,3.37,0.69,10.1,15.57,1.6,4.48,53.5,1.33,68.18,,,,,
5:11:21 AM,22-07-23,21.9,22,0.32,0.55,0.43,1.66,3.51,4.67,0.92,3.48,3.9,0.62,9.45,16.79,1.62,4.36,54.05,1.33,67.17,,,,,
5:11:22 AM,22-07-23,21.9,22,0.32,0.55,0.46,1.71,3.45,4.78,0.92,3.45,3.4,0.62,10.05,16.47,1.61,4.39,53.4,1.32,68.35,,,,,
5:11:22 AM,22-07-23,21.9,22,0.32,0.55,0.43,1.68,3.52,4.7,0.91,3.47,4.17,0.65,9.18,16.07,1.72,4.43,52.85,1.29,69.39,,,,,
5:11:23 AM,22-07-23,21.9,23,0.32,0.56,0.51,1.68,3.36,4.7,0.91,3.47,3.72,0.61,9.66,16.68,1.6,4.37,53.59,1.31,68.01,,,,,
5:11:24 AM,22-07-23,21.9,23,0.32,0.55,0.42,1.7,3.54,4.9,0.89,3.42,3.79,0.68,9.58,16.79,1.6,4.36,52.03,1.33,70.99,,,,,
5:11:24 AM,22-07-23,21.9,23,0.32,0.55,0.4,1.69,3.59,4.37,0.86,3.58,3.47,0.63,9.96,17.42,1.68,4.3,53.4,1.29,68.35,,,,,
5:11:25 AM,22-07-23,21.9,23,0.32,0.55,0.41,1.79,3.55,4.02,0.89,3.7,3.58,0.65,9.83,17.86,1.61,4.26,53.4,1.33,68.35,,,,,
5:11:25 AM,22-07-23,21.9,23,0.32,0.56,0.39,1.69,3.62,4.63,0.91,3.5,3.65,0.68,9.75,16.68,1.61,4.37,53.22,1.33,68.7,,,,,
5:11:26 AM,22-07-23,21.9,23,0.32,0.55,0.38,1.66,3.63,4.7,0.88,3.47,4.09,0.66,9.26,16.79,1.6,4.36,54.61,1.33,66.18,,,,,
5:11:26 AM,22-07-23,21.9,23,0.32,0.56,0.45,1.71,3.47,4.7,0.94,3.47,3.79,0.64,9.58,17.42,1.61,4.3,54.14,1.33,67,,,,,
5:11:27 AM,22-07-23,21.9,23,0.32,0.55,0.41,1.7,3.56,4.82,0.88,3.44,3.54,0.67,9.87,15.77,1.61,4.46,54.88,1.33,65.69,,,,,
5:11:27 AM,22-07-23,21.9,23,0.32,0.56,0.42,1.72,3.53,4.74,0.92,3.46,3.98,0.69,9.37,18.31,1.61,4.22,53.13,1.33,68.87,,,,,
5:11:28 AM,22-07-23,21.9,23,0.32,0.55,0.35,1.71,3.74,4.48,0.9,3.54,3.72,0.63,9.66,17.64,1.6,4.28,53.04,1.33,69.04,,,,,
5:11:28 AM,22-07-23,21.9,23,0.32,0.55,0.43,1.79,3.52,3.99,0.9,3.71,4.05,0.66,9.29,17.42,1.61,4.3,53.5,1.33,68.18,,,,,
5:11:29 AM,22-07-23,21.9,23,0.32,0.55,0.43,1.72,3.52,4.78,0.94,3.45,3.83,0.64,9.54,17.86,1.63,4.26,53.68,1.33,67.84,,,,,
5:11:29 AM,22-07-23,22,23,0.32,0.56,0.45,1.74,3.46,5.1,0.9,3.36,3.37,0.68,10.1,17.53,1.66,4.29,53.68,1.33,67.84,,,,,
5:11:30 AM,22-07-23,22,23,0.32,0.55,0.43,1.73,3.52,4.44,0.86,3.55,4.17,0.65,9.18,17.1,1.64,4.33,53.59,1.32,68.01,,,,,
5:11:30 AM,22-07-23,22,23,0.32,0.55,0.43,1.7,3.52,4.26,0.91,3.61,3.98,0.62,9.37,14.8,1.61,4.56,53.77,1.34,67.67,,,,,
5:11:31 AM,22-07-23,22,23,0.32,0.55,0.39,1.71,3.63,4.44,0.9,3.55,3.3,0.65,10.19,17.42,1.61,4.3,55.44,1.33,64.73,,,,,
5:11:31 AM,22-07-23,22,24,0.32,0.55,0.42,1.66,3.53,4.44,0.91,3.55,4.05,0.65,9.29,16.68,1.6,4.37,53.87,1.3,67.5,,,,,
5:11:32 AM,22-07-23,22,24,0.32,0.55,0.45,1.79,3.48,4.55,0.9,3.52,2.89,0.7,10.82,15.18,1.62,4.52,53.5,1.33,68.18,,,,,
5:11:32 AM,22-07-23,22,24,0.32,0.55,0.38,1.73,3.65,4.23,0.9,3.63,4.17,0.63,9.18,16.07,1.57,4.43,53.68,1.29,67.84,,,,,
5:11:33 AM,22-07-23,22,24,0.32,0.56,0.41,1.7,3.57,4.02,0.79,3.7,4.17,0.63,9.18,17.42,1.57,4.3,52.67,1.31,69.74,,,,,
5:11:34 AM,22-07-23,22,24,0.32,0.55,0.43,1.73,3.52,4.67,0.93,3.48,3.68,0.66,9.7,16.47,1.58,4.39,53.68,1.44,67.84,,,,,
5:11:34 AM,22-07-23,22,24,0.32,0.55,0.43,1.71,3.52,3.89,0.9,3.75,3.65,0.65,9.75,17.86,1.61,4.26,53.31,1.33,68.52,,,,,
5:11:35 AM,22-07-23,22,24,0.32,0.55,0.43,1.71,3.51,3.82,0.88,3.78,3.72,0.65,9.66,17.53,1.62,4.29,52.67,1.33,69.74,,,,,
5:11:35 AM,22-07-23,22,24,0.32,0.55,0.42,1.71,3.54,4.63,0.9,3.5,4.61,0.65,8.77,17,1.61,4.34,52.94,1.33,69.22,,,,,
5:11:36 AM,22-07-23,22,24,0.32,0.55,0.39,1.69,3.61,4.41,0.9,3.57,3.76,0.63,9.62,17.21,1.64,4.32,52.85,1.29,69.39,,,,,
5:11:36 AM,22-07-23,22,24,0.32,0.55,0.33,1.68,3.8,4.55,1.01,3.52,4.09,0.72,9.26,17.64,1.6,4.28,52.76,1.48,69.57,,,,,
5:11:37 AM,22-07-23,22,24,0.32,0.55,0.4,1.69,3.6,4.26,0.9,3.61,3.58,0.65,9.83,17.42,1.62,4.3,52.94,1.33,69.22,,,,,
5:11:37 AM,22-07-23,22,24,0.32,0.55,0.4,1.62,3.59,4.12,0.87,3.66,3.76,0.57,9.62,16.79,1.64,4.36,53.31,1.3,68.52,,,,,
5:11:38 AM,22-07-23,22,24,0.32,0.55,0.39,1.72,3.61,5.26,0.93,3.32,3.58,0.68,9.83,16.68,1.68,4.37,52.58,1.36,69.92,,,,,
5:11:38 AM,22-07-23,22,24,0.32,0.55,0.4,1.7,3.6,4.48,0.9,3.54,3.4,0.57,10.05,16.89,1.56,4.35,55.63,1.33,64.41,,,,,
5:11:39 AM,22-07-23,22,24,0.32,0.55,0.44,1.7,3.49,4.19,0.88,3.64,3.76,0.65,9.62,16.58,1.6,4.38,52.67,1.39,69.74,,,,,
5:11:39 AM,22-07-23,22,24,0.32,0.55,0.45,1.71,3.46,4.67,0.9,3.48,3.54,0.62,9.87,16.89,1.61,4.35,52.94,1.33,69.22,,,,,
5:11:40 AM,22-07-23,22,24,0.32,0.55,0.44,1.71,3.49,3.92,0.88,3.74,4.01,0.65,9.33,16.79,1.62,4.36,53.5,1.33,68.18,,,,,
5:11:40 AM,22-07-23,22,24,0.32,0.55,0.4,1.69,3.59,4.52,0.9,3.53,4.95,0.65,8.5,17.53,1.62,4.29,53.4,1.35,68.35,,,,,
5:11:41 AM,22-07-23,22,24,0.32,0.55,0.43,1.73,3.52,5.02,0.93,3.38,3.51,0.74,9.92,20.2,1.61,4.08,53.59,1.38,68.01,,,,,
5:11:41 AM,22-07-23,22,24,0.32,0.55,0.43,1.67,3.52,4.7,0.9,3.47,3.86,0.57,9.5,17.42,1.6,4.3,53.31,1.33,68.52,,,,,
5:11:42 AM,22-07-23,22,24,0.32,0.55,0.38,1.79,3.64,4.33,0.92,3.59,3.51,0.64,9.92,17.1,1.61,4.33,52.76,1.33,69.57,,,,,
5:11:43 AM,22-07-23,22,24,0.32,0.55,0.44,1.69,3.49,3.92,0.87,3.74,3.72,0.66,9.66,17.1,1.62,4.33,53.22,1.33,68.7,,,,,
5:11:43 AM,22-07-23,22,24,0.32,0.55,0.4,1.71,3.59,4.41,0.89,3.57,5.31,0.65,8.23,17.32,1.61,4.31,52.94,1.33,69.22,,,,,
5:11:44 AM,22-07-23,22,24,0.32,0.55,0.46,1.77,3.45,4.37,0.9,3.58,3.4,0.77,10.05,16.68,1.55,4.37,53.5,1.35,68.18,,,,,
5:11:44 AM,22-07-23,22,24,0.32,0.55,0.42,1.7,3.55,4.37,0.94,3.58,4.53,0.64,8.84,17.53,1.61,4.29,53.59,1.33,68.01,,,,,
5:11:45 AM,22-07-23,22,24,0.32,0.55,0.44,1.73,3.5,5.65,0.9,3.23,3.76,0.63,9.62,17.97,1.65,4.25,52.3,1.35,70.45,,,,,
5:11:45 AM,22-07-23,22,24,0.32,0.55,0.44,1.73,3.5,4.55,0.93,3.52,3.76,0.65,9.62,18.2,1.56,4.23,52.67,1.4,69.74,,,,,
