 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,,,,,,
4:29:56 AM,22-07-23,25.4,22,0.58,0.54,0.41,1.73,3.56,4.29,0.79,3.6,3.61,0.7,9.79,16.6,1.82,4.37,52.38,1.57,70.3,,,,,,
4:29:56 AM,22-07-23,25.4,22,0.58,0.54,0.49,1.73,3.39,4.44,0.83,3.55,3.68,0.7,9.71,16.12,1.85,4.42,52.71,1.57,69.66,,,,,,
4:29:57 AM,22-07-23,25.4,22,0.58,0.54,0.38,1.74,3.64,3.46,0.92,3.93,3.71,0.72,9.67,15.56,1.83,4.48,52.96,1.64,69.19,,,,,,
4:29:57 AM,22-07-23,25.4,22,0.58,0.54,0.41,1.74,3.56,3.3,0.89,4.01,3.27,0.67,10.24,14.93,1.72,4.54,52.14,1.68,70.78,,,,,,
4:29:58 AM,22-07-23,25.4,22,0.58,0.54,0.4,1.73,3.6,4.22,0.84,3.63,3.33,0.7,10.16,16.41,1.82,4.39,52.22,1.56,70.62,,,,,,
4:29:58 AM,22-07-23,25.4,22,0.58,0.54,0.4,1.67,3.59,4.48,0.86,3.54,3.12,0.7,10.46,16.03,1.81,4.43,51.73,1.56,71.59,,,,,,
4:29:59 AM,22-07-23,25.4,22,0.58,0.54,0.4,1.73,3.58,4.48,0.84,3.54,4.13,0.69,9.22,14.93,1.82,4.54,50.76,1.57,73.59,,,,,,
4:29:59 AM,22-07-23,25.4,22,0.58,0.54,0.41,1.73,3.57,5.05,0.84,3.37,3.55,0.7,9.87,16.31,1.82,4.4,51.81,1.57,71.43,,,,,,
4:30:00 AM,22-07-23,25.4,22,0.58,0.54,0.41,1.73,3.56,5.49,0.87,3.26,3.68,0.71,9.71,16.03,1.82,4.43,52.38,1.57,70.3,,,,,,
4:30:01 AM,22-07-23,25.4,22,0.58,0.54,0.41,1.67,3.57,4.6,0.83,3.5,4.06,0.64,9.29,17.1,1.84,4.33,54.12,1.59,67.05,,,,,,
4:30:01 AM,22-07-23,25.4,22,0.58,0.54,0.36,1.74,3.69,4.41,0.86,3.57,3.36,0.69,10.11,15.66,1.82,4.47,52.47,1.52,70.14,,,,,,
4:30:02 AM,22-07-23,25.4,22,0.58,0.54,0.28,1.73,3.96,4.52,0.8,3.53,3.61,0.7,9.79,17.3,1.88,4.31,52.47,1.52,70.14,,,,,,
4:30:02 AM,22-07-23,25.5,22,0.58,0.54,0.4,1.72,3.6,4.64,0.77,3.49,3.49,0.71,9.95,16.6,1.84,4.37,51.24,1.49,72.58,,,,,,
4:30:03 AM,22-07-23,25.5,22,0.58,0.54,0.38,1.63,3.63,4,0.78,3.71,3.95,0.68,9.4,14.24,1.83,4.62,52.47,1.54,70.14,,,,,,
