 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,,,,,
5:18:50 AM,22-07-23,24.3,22,0.54,0.54,0.41,1.87,3.56,4.1,1.08,3.67,3.45,0.82,9.99,14.71,1.63,4.57,54.2,1.32,66.91,,,,,
5:18:51 AM,22-07-23,24.3,22,0.54,0.54,0.38,1.81,3.65,4.41,0.94,3.56,4.15,0.67,9.19,16.05,1.63,4.43,52.5,1.33,70.07,,,,,
5:18:51 AM,22-07-23,24.3,22,0.54,0.54,0.38,1.86,3.65,3.75,0.94,3.8,3.86,0.66,9.5,16.55,1.65,4.38,52.23,1.36,70.59,,,,,
5:18:52 AM,22-07-23,24.3,22,0.54,0.54,0.35,1.82,3.72,4.41,0.95,3.56,3.45,0.65,9.99,16.05,1.62,4.43,52.06,1.33,70.94,,,,,
5:18:52 AM,22-07-23,24.3,22,0.54,0.54,0.37,1.93,3.66,5,0.94,3.39,3.59,0.63,9.82,16.35,1.64,4.4,51.88,1.37,71.29,,,,,
5:18:53 AM,22-07-23,24.3,22,0.54,0.54,0.39,1.85,3.62,4.7,0.93,3.47,3.59,0.7,9.82,16.55,1.63,4.38,52.32,1.52,70.41,,,,,
5:18:53 AM,22-07-23,24.3,22,0.54,0.54,0.39,1.79,3.62,4.27,0.87,3.61,3.36,0.69,10.12,14.81,1.64,4.56,51.44,1.37,72.18,,,,,
5:18:54 AM,22-07-23,24.3,22,0.54,0.54,0.37,1.82,3.66,3.75,0.94,3.8,3.59,0.7,9.82,16.05,1.61,4.43,52.77,1.36,69.55,,,,,
5:18:54 AM,22-07-23,24.3,22,0.54,0.54,0.37,1.83,3.67,3.85,0.96,3.77,3.23,0.66,10.29,16.45,1.64,4.39,52.86,1.37,69.38,,,,,
5:18:55 AM,22-07-23,24.3,22,0.54,0.54,0.38,1.79,3.63,4.62,0.91,3.5,3.55,0.65,9.86,16.45,1.68,4.39,51.7,1.38,71.64,,,,,
5:18:55 AM,22-07-23,24.3,22,0.54,0.54,0.39,1.81,3.61,4.07,0.86,3.68,3.86,0.66,9.5,16.05,1.61,4.43,51.79,1.38,71.46,,,,,
5:18:56 AM,22-07-23,24.3,22,0.54,0.54,0.4,1.88,3.6,4.92,0.89,3.41,3.39,0.63,10.07,15.47,1.62,4.49,52.59,1.35,69.9,,,,,
5:18:56 AM,22-07-23,24.4,22,0.54,0.54,0.37,1.76,3.68,4.27,0.94,3.61,3.52,0.66,9.9,15.95,1.64,4.44,51.79,1.36,71.46,,,,,
5:18:57 AM,22-07-23,24.4,22,0.54,0.54,0.37,1.84,3.68,4.59,0.92,3.51,4.04,0.65,9.3,15.76,1.71,4.46,52.15,1.44,70.76,,,,,
5:18:57 AM,22-07-23,24.4,22,0.54,0.54,0.4,1.81,3.59,4.14,0.97,3.66,3.29,0.66,10.2,15.37,1.63,4.5,52.23,1.37,70.59,,,,,
5:18:58 AM,22-07-23,24.4,22,0.54,0.54,0.38,1.85,3.65,3.97,0.98,3.72,4.42,0.7,8.94,14.44,1.64,4.6,51.7,1.37,71.64,,,,,
5:18:59 AM,22-07-23,24.3,22,0.54,0.54,0.39,1.81,3.62,4.31,0.91,3.6,3.62,0.63,9.78,15.76,1.6,4.46,51.35,1.35,72.36,,,,,
5:18:59 AM,22-07-23,24.3,22,0.54,0.54,0.37,1.86,3.67,4.62,1,3.5,4.01,0.69,9.34,17.07,1.64,4.33,52.15,1.44,70.76,,,,,
5:19:00 AM,22-07-23,24.3,22,0.54,0.54,0.37,1.82,3.68,4.04,0.96,3.69,3.45,0.66,9.99,16.05,1.63,4.43,53.03,1.37,69.05,,,,,
5:19:00 AM,22-07-23,24.3,22,0.54,0.54,0.33,1.79,3.8,3.78,0.94,3.79,3.55,0.66,9.86,16.45,1.65,4.39,52.32,1.33,70.41,,,,,
5:19:01 AM,22-07-23,24.3,22,0.54,0.54,0.38,1.83,3.65,5.81,0.89,3.19,3.62,0.68,9.78,16.66,1.64,4.37,53.21,1.33,68.71,,,,,
5:19:02 AM,22-07-23,24.3,22,0.54,0.54,0.35,1.87,3.72,4.55,0.94,3.52,3.79,0.7,9.58,15.37,1.64,4.5,54.02,1.37,67.23,,,,,
5:19:02 AM,22-07-23,24.3,22,0.54,0.54,0.37,1.82,3.66,3.85,0.95,3.77,3.62,0.67,9.78,16.15,1.64,4.42,53.03,1.33,69.05,,,,,
