 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,,,,,
11:34:12 AM,08-06-23,21.8,45,0.34,0.54,0.33,2.09,3.79,4.06,0.65,3.69,3.24,0.98,10.27,16.5,2.05,4.38,52.44,2.13,70.18,,,,,
11:34:12 AM,08-06-23,21.8,45,0.34,0.53,0.39,2.05,3.61,3.89,0.65,3.75,3.62,0.87,9.78,15.16,2.05,4.52,52.59,2.11,69.9,,,,,
11:34:13 AM,08-06-23,21.8,45,0.34,0.53,0.38,2.07,3.65,4.37,0.67,3.58,3.5,1,9.93,17.85,2.08,4.26,51.37,2.11,72.32,,,,,
11:34:13 AM,08-06-23,21.8,45,0.34,0.54,0.43,2.04,3.51,3.89,0.67,3.75,3.55,0.99,9.87,16.31,2.05,4.4,52.23,2.11,70.6,,,,,
11:34:14 AM,08-06-23,21.9,45,0.34,0.54,0.4,2.01,3.59,4.06,0.67,3.69,3.65,1.01,9.75,15.86,2.06,4.45,51.94,2.14,71.17,,,,,
11:34:14 AM,08-06-23,21.9,45,0.34,0.54,0.41,2.08,3.56,3.98,0.68,3.72,3.55,1.01,9.87,16.59,2.07,4.37,52.3,2.13,70.46,,,,,
11:34:15 AM,08-06-23,21.9,45,0.34,0.54,0.39,2.1,3.61,4.06,0.63,3.69,3.88,0.96,9.48,16.31,2.04,4.4,52.66,2.12,69.76,,,,,
11:34:15 AM,08-06-23,21.9,45,0.34,0.54,0.41,2.06,3.57,4.1,0.69,3.67,3.24,0.97,10.27,17.26,2.04,4.31,51.66,2.12,71.74,,,,,
11:34:16 AM,08-06-23,21.8,45,0.34,0.54,0.43,2.08,3.52,4.32,0.69,3.59,3.8,1.02,9.57,16.97,2.04,4.34,52.73,2.12,69.62,,,,,
11:34:17 AM,08-06-23,21.8,45,0.34,0.54,0.38,2.11,3.64,4.28,0.7,3.61,3.8,1,9.57,16.13,2.04,4.42,52.95,2.12,69.2,,,,,
11:34:17 AM,08-06-23,21.8,45,0.34,0.54,0.4,2.1,3.6,3.31,0.66,4,3.67,1.03,9.72,17.26,2.05,4.31,52.08,2.14,70.88,,,,,
11:34:18 AM,08-06-23,21.8,45,0.34,0.54,0.41,2.08,3.56,4.28,0.69,3.61,3.45,0.97,9.99,17.16,2.07,4.32,52.66,2.14,69.76,,,,,
11:34:18 AM,08-06-23,21.9,45,0.34,0.54,0.37,2.07,3.67,4.06,0.71,3.69,3.62,0.96,9.78,17.26,2.02,4.31,52.52,2.11,70.04,,,,,
11:34:19 AM,08-06-23,21.9,45,0.34,0.54,0.39,2.07,3.63,3.89,0.73,3.75,3.8,0.96,9.57,15.86,2.04,4.45,51.73,2.11,71.6,,,,,
11:34:19 AM,08-06-23,21.9,45,0.34,0.54,0.4,2.12,3.59,2.82,0.7,4.27,3.77,0.93,9.6,15.51,2.03,4.48,52.81,2.09,69.48,,,,,
11:34:20 AM,08-06-23,21.9,45,0.34,0.54,0.37,2.1,3.66,3.77,0.65,3.8,3.45,1.01,9.99,16.04,1.96,4.43,52.3,2.09,70.46,,,,,
