 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,,,,,
5:35:34 AM,22-07-23,26.2,22,0.69,0.55,0.45,1.65,3.46,3.81,1.01,3.78,3.83,0.73,9.54,16.46,1.9,4.39,52.6,1.63,69.87,,,,,
5:35:34 AM,22-07-23,26.2,22,0.69,0.54,0.46,1.65,3.45,3.75,0.93,3.81,3.6,0.66,9.8,17.33,1.92,4.31,52.68,1.63,69.72,,,,,
5:35:35 AM,22-07-23,26.2,22,0.69,0.55,0.45,1.71,3.48,3.93,0.98,3.73,3.83,0.75,9.54,15.72,1.95,4.46,52.68,1.6,69.72,,,,,
5:35:35 AM,22-07-23,26.2,22,0.69,0.55,0.42,1.67,3.55,4.45,0.96,3.55,3.79,0.72,9.57,16.84,1.91,4.35,53.17,1.58,68.8,,,,,
5:35:36 AM,22-07-23,26.3,22,0.69,0.54,0.45,1.71,3.47,3.4,0.96,3.96,3.51,0.89,9.92,16.94,1.93,4.34,52.92,1.64,69.26,,,,,
5:35:36 AM,22-07-23,26.3,22,0.69,0.55,0.41,1.71,3.55,4.32,0.97,3.6,3.93,0.73,9.43,16.37,1.92,4.4,52.6,1.64,69.87,,,,,
5:35:37 AM,22-07-23,26.3,22,0.69,0.55,0.39,1.74,3.62,4.18,0.91,3.64,3.66,0.66,9.72,17.33,1.93,4.31,53.17,1.63,68.8,,,,,
5:35:37 AM,22-07-23,26.3,22,0.69,0.54,0.47,1.71,3.43,4.32,0.95,3.6,4.68,0.73,8.71,15.45,1.92,4.49,53.65,1.59,67.89,,,,,
5:35:38 AM,22-07-23,26.3,22,0.69,0.54,0.48,1.72,3.41,4.59,0.89,3.51,3.79,0.67,9.57,16.37,1.92,4.4,52.76,1.66,69.56,,,,,
5:35:38 AM,22-07-23,26.3,22,0.69,0.54,0.46,1.66,3.46,4.09,0.94,3.68,3.54,0.74,9.88,17.04,1.93,4.33,53.41,1.64,68.34,,,,,
5:35:39 AM,22-07-23,26.3,22,0.69,0.54,0.43,1.71,3.52,3.78,0.97,3.79,3.73,0.74,9.65,16.37,1.96,4.4,53.25,1.66,68.64,,,,,
5:35:40 AM,22-07-23,26.3,22,0.69,0.54,0.46,1.72,3.46,4.09,0.89,3.68,3.57,0.75,9.84,16.75,1.92,4.36,53.49,1.65,68.19,,,,,
5:35:40 AM,22-07-23,26.3,22,0.69,0.54,0.44,1.73,3.49,4.25,0.89,3.62,3.29,0.74,10.21,16.56,1.94,4.38,53.41,1.65,68.34,,,,,
5:35:41 AM,22-07-23,26.3,22,0.69,0.54,0.48,1.71,3.41,3.63,0.97,3.86,4.53,0.72,8.84,16.65,1.93,4.37,52.84,1.66,69.41,,,,,
5:35:41 AM,22-07-23,26.3,22,0.69,0.54,0.42,1.72,3.53,4.12,0.94,3.66,3.7,0.7,9.69,18.25,1.98,4.23,54.22,1.65,66.86,,,,,
5:35:42 AM,22-07-23,26.3,22,0.69,0.54,0.47,1.74,3.43,3.49,0.94,3.92,3.86,0.74,9.5,17.14,1.91,4.32,53.82,1.71,67.59,,,,,
5:35:42 AM,22-07-23,26.3,22,0.69,0.55,0.47,1.75,3.44,3.9,0.96,3.75,3.79,0.67,9.57,17.94,1.92,4.25,52.92,1.65,69.26,,,,,
5:35:43 AM,22-07-23,26.3,22,0.69,0.55,0.47,1.74,3.43,4.12,0.93,3.66,3.35,0.74,10.12,16.46,1.93,4.39,52.84,1.66,69.41,,,,,
5:35:43 AM,22-07-23,26.3,22,0.69,0.54,0.44,1.74,3.5,3.46,0.95,3.93,4.1,0.74,9.25,16.84,1.93,4.35,52.92,1.66,69.26,,,,,
5:35:44 AM,22-07-23,26.3,22,0.69,0.54,0.43,1.7,3.51,4.18,0.95,3.64,3.93,0.71,9.43,15.72,1.98,4.46,53.65,1.68,67.89,,,,,
5:35:44 AM,22-07-23,26.3,22,0.69,0.54,0.47,1.79,3.44,3.69,0.95,3.83,4.28,0.73,9.07,16.75,1.93,4.36,54.31,1.65,66.71,,,,,
5:35:45 AM,22-07-23,26.3,22,0.69,0.54,0.45,1.73,3.47,4.25,0.99,3.62,3.89,0.73,9.46,17.24,1.92,4.31,53.49,1.66,68.19,,,,,
5:35:45 AM,22-07-23,26.3,22,0.69,0.54,0.48,1.72,3.42,4.12,0.93,3.66,3.51,0.76,9.92,14.49,1.95,4.59,53.73,1.65,67.74,,,,,
5:35:46 AM,22-07-23,26.3,22,0.69,0.54,0.53,1.78,3.32,3.49,0.98,3.92,3.79,0.75,9.57,16.75,1.96,4.36,53.73,1.68,67.74,,,,,
5:35:46 AM,22-07-23,26.2,22,0.69,0.54,0.45,1.74,3.48,3.93,0.98,3.73,4.38,0.74,8.97,16.94,1.91,4.34,53.9,1.66,67.45,,,,,
5:35:47 AM,22-07-23,26.2,22,0.69,0.54,0.44,1.73,3.49,3.78,0.96,3.79,3.76,0.73,9.61,17.74,1.91,4.27,53.73,1.67,67.74,,,,,
5:35:47 AM,22-07-23,26.2,22,0.69,0.55,0.51,1.75,3.35,4.06,0.95,3.69,3.86,0.71,9.5,16.65,1.96,4.37,53.9,1.68,67.45,,,,,
5:35:48 AM,22-07-23,26.2,22,0.69,0.54,0.44,1.72,3.49,3.54,0.93,3.89,4.06,0.74,9.28,17.04,1.93,4.33,52.84,1.66,69.41,,,,,
5:35:49 AM,22-07-23,26.2,22,0.69,0.54,0.43,1.67,3.52,4.25,0.93,3.62,3.35,0.65,10.12,16.56,1.95,4.38,53.82,1.66,67.59,,,,,
5:35:49 AM,22-07-23,26.2,22,0.69,0.54,0.45,1.73,3.47,3.78,0.96,3.79,4.1,0.73,9.25,17.43,1.93,4.3,54.22,1.66,66.86,,,,,
5:35:50 AM,22-07-23,26.2,22,0.69,0.54,0.49,1.74,3.38,3.96,0.98,3.72,4.06,0.73,9.28,16.94,1.93,4.34,54.06,1.66,67.15,,,,,
5:35:50 AM,22-07-23,26.2,22,0.69,0.55,0.48,1.77,3.4,4.09,0.92,3.68,3.38,0.7,10.08,16.18,1.94,4.41,53.65,1.65,67.89,,,,,
5:35:51 AM,22-07-23,26.2,22,0.69,0.54,0.47,1.71,3.43,3.69,0.95,3.83,3.83,0.74,9.54,16.27,1.94,4.4,53.49,1.67,68.19,,,,,
5:35:51 AM,22-07-23,26.2,22,0.69,0.54,0.47,1.72,3.43,3.6,0.95,3.87,3.41,0.73,10.04,17.43,1.93,4.3,53.17,1.68,68.8,,,,,
5:35:52 AM,22-07-23,26.2,22,0.69,0.54,0.44,1.7,3.49,3.99,0.87,3.71,3.76,0.65,9.61,16.18,1.94,4.41,55.21,1.68,65.13,,,,,
5:35:52 AM,22-07-23,26.2,22,0.69,0.55,0.61,1.79,3.19,3.72,0.94,3.82,3.6,0.71,9.8,16.56,1.9,4.38,53.33,1.67,68.49,,,,,
5:35:53 AM,22-07-23,26.3,22,0.69,0.55,0.45,1.74,3.47,3.87,0.97,3.76,3.7,0.73,9.69,17.43,1.96,4.3,52.52,1.67,70.03,,,,,
5:35:53 AM,22-07-23,26.3,22,0.69,0.54,0.48,1.73,3.42,4.25,0.95,3.62,4.28,0.76,9.07,15.63,1.93,4.47,54.31,1.67,66.71,,,,,
5:35:54 AM,22-07-23,26.3,22,0.69,0.54,0.45,1.72,3.47,3.49,0.98,3.92,4.57,0.74,8.81,18.15,1.96,4.24,52.76,1.67,69.56,,,,,
5:35:54 AM,22-07-23,26.3,22,0.69,0.54,0.42,1.68,3.55,4.38,0.89,3.57,3.73,0.66,9.65,17.43,1.94,4.3,54.39,1.62,66.56,,,,,
5:35:55 AM,22-07-23,26.2,22,0.69,0.54,0.47,1.71,3.44,3.27,0.95,4.02,4.91,0.73,8.52,16.09,1.93,4.42,53.73,1.62,67.74,,,,,
5:35:55 AM,22-07-23,26.2,22,0.69,0.54,0.4,1.71,3.59,4.09,0.94,3.68,3.76,0.72,9.61,17.84,1.96,4.26,54.39,1.68,66.56,,,,,
5:35:56 AM,22-07-23,26.2,22,0.69,0.54,0.5,1.75,3.37,3.78,0.95,3.79,3.63,0.82,9.76,16.46,1.97,4.39,53.57,1.68,68.04,,,,,
5:35:56 AM,22-07-23,26.2,22,0.69,0.54,0.47,1.72,3.43,3.9,0.97,3.75,3.57,0.74,9.84,17.33,1.94,4.31,53.25,1.68,68.64,,,,,
5:35:57 AM,22-07-23,26.2,22,0.69,0.54,0.41,1.72,3.55,4.35,0.94,3.58,3.51,0.76,9.92,17.04,1.94,4.33,54.14,1.66,67,,,,,
5:35:57 AM,22-07-23,26.2,22,0.69,0.54,0.45,1.72,3.47,3.49,0.9,3.92,4,0.67,9.35,16.65,1.93,4.37,53.41,1.67,68.34,,,,,
5:35:58 AM,22-07-23,26.2,22,0.69,0.54,0.48,1.68,3.42,4.35,0.92,3.58,3.83,0.72,9.54,16.84,1.95,4.35,55.79,1.66,64.15,,,,,
5:35:59 AM,22-07-23,26.2,22,0.69,0.54,0.46,1.74,3.46,3.46,1.01,3.93,3.6,0.67,9.8,16.84,1.93,4.35,54.39,1.69,66.56,,,,,
5:35:59 AM,22-07-23,26.2,22,0.69,0.54,0.42,1.71,3.54,4.18,0.9,3.64,3.83,0.79,9.54,17.33,1.95,4.31,54.8,1.65,65.84,,,,,
5:36:00 AM,22-07-23,26.2,22,0.69,0.54,0.48,1.73,3.42,3.43,1,3.95,4.1,0.73,9.25,17.53,1.94,4.29,53.49,1.68,68.19,,,,,
5:36:00 AM,22-07-23,26.2,22,0.69,0.54,0.47,1.73,3.43,4.22,0.98,3.63,3.79,0.71,9.57,16.37,1.99,4.4,54.22,1.64,66.86,,,,,
5:36:01 AM,22-07-23,26.2,22,0.69,0.54,0.45,1.79,3.47,3.99,0.96,3.71,3.79,0.86,9.57,17.24,1.94,4.31,54.22,1.68,66.86,,,,,
5:36:02 AM,22-07-23,26.3,22,0.69,0.54,0.47,1.66,3.44,4.69,0.99,3.48,3.96,0.74,9.39,16.84,1.93,4.35,53.09,1.64,68.95,,,,,
5:36:02 AM,22-07-23,26.3,22,0.69,0.54,0.43,1.62,3.52,4.45,0.94,3.55,3.73,0.66,9.65,16.65,1.93,4.37,54.31,1.69,66.71,,,,,
5:36:02 AM,22-07-23,26.3,22,0.69,0.54,0.46,1.73,3.46,3.63,1.01,3.86,5.36,0.74,8.2,17.04,1.91,4.33,54.06,1.68,67.15,,,,,
5:36:03 AM,22-07-23,26.3,22,0.69,0.54,0.45,1.73,3.46,4.35,0.96,3.58,3.93,0.75,9.43,15.9,1.89,4.44,54.72,1.66,65.98,,,,,
5:36:03 AM,22-07-23,26.3,22,0.69,0.54,0.43,1.72,3.52,3.69,0.95,3.83,3.7,0.72,9.69,16.75,1.95,4.36,54.31,1.64,66.71,,,,,
