 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,,,,,
4:52:07 AM,22-07-23,26.4,25,0.7,0.55,0.38,1.69,3.63,4.47,0.94,3.54,3.55,0.66,9.87,15.4,1.71,4.49,53.54,1.41,68.1,,,,,
4:52:08 AM,22-07-23,26.4,25,0.7,0.54,0.38,1.68,3.65,4.04,0.96,3.69,3.82,0.67,9.54,15.4,1.72,4.49,52.67,1.46,69.74,,,,,
4:52:08 AM,22-07-23,26.4,25,0.7,0.54,0.46,1.69,3.45,4.17,0.93,3.65,3.35,0.67,10.13,16.66,1.75,4.37,51.81,1.44,71.43,,,,,
4:52:09 AM,22-07-23,26.4,25,0.7,0.54,0.4,1.7,3.59,4.37,0.82,3.58,3.72,0.63,9.66,16.16,1.71,4.42,52.58,1.47,69.91,,,,,
4:52:09 AM,22-07-23,26.4,25,0.7,0.54,0.36,1.71,3.69,3.91,0.97,3.74,5.51,0.66,8.09,15.97,1.73,4.43,51.89,1.44,71.26,,,,,
4:52:10 AM,22-07-23,26.4,25,0.7,0.55,0.39,1.7,3.61,3.97,1.01,3.72,3.45,0.65,10,15.03,1.57,4.53,53.02,1.48,69.08,,,,,
4:52:10 AM,22-07-23,26.4,25,0.7,0.54,0.36,1.69,3.69,4.54,0.95,3.52,3.68,0.66,9.7,16.26,1.73,4.41,53.36,1.46,68.43,,,,,
4:52:11 AM,22-07-23,26.4,25,0.7,0.54,0.4,1.69,3.6,3.82,0.96,3.78,3.65,0.65,9.74,16.26,1.71,4.41,51.72,1.46,71.61,,,,,
4:52:11 AM,22-07-23,26.4,25,0.7,0.54,0.37,1.69,3.67,4.54,0.95,3.52,3.79,0.61,9.58,15.87,1.73,4.44,52.5,1.4,70.07,,,,,
4:52:12 AM,22-07-23,26.4,25,0.7,0.54,0.39,1.7,3.62,4.2,0.96,3.64,3.82,0.67,9.54,17.06,1.74,4.33,53.02,1.44,69.08,,,,,
4:52:12 AM,22-07-23,26.4,25,0.7,0.54,0.43,1.72,3.53,3.58,0.96,3.88,2.98,0.89,10.68,16.16,1.72,4.42,52.24,1.42,70.58,,,,,
4:52:13 AM,22-07-23,26.4,25,0.7,0.54,0.44,1.69,3.51,4.44,0.9,3.56,3.89,0.63,9.46,15.68,1.75,4.46,52.58,1.41,69.91,,,,,
4:52:14 AM,22-07-23,26.4,25,0.7,0.54,0.4,1.7,3.58,3.91,0.98,3.74,4.15,0.66,9.19,15.49,1.72,4.48,51.38,1.44,72.3,,,,,
4:52:14 AM,22-07-23,26.4,25,0.7,0.54,0.38,1.69,3.65,4.23,0.95,3.62,3.89,0.67,9.46,16.26,1.72,4.41,52.76,1.44,69.57,,,,,
4:52:15 AM,22-07-23,26.4,25,0.7,0.54,0.38,1.69,3.65,4.13,0.97,3.66,4,0.66,9.35,16.07,1.71,4.43,52.41,1.44,70.24,,,,,
4:52:15 AM,22-07-23,26.4,25,0.7,0.54,0.42,1.69,3.54,4.37,0.93,3.58,3.58,0.68,9.83,16.46,1.64,4.39,52.84,1.56,69.41,,,,,
4:52:16 AM,22-07-23,26.4,25,0.7,0.54,0.37,1.68,3.68,4.4,0.93,3.57,3.72,0.65,9.66,16.16,1.76,4.42,52.76,1.43,69.57,,,,,
