H2S(WE),H2S(AE),SO2(WE),SO2(AE),CO(WE),CO(AE),VOC(WE),VOC(AE),NH3(WE),NH3(AE),MICS6814(CO),MICS6814(NH3),MICS6814(NO2),SEMEATECH(NH3),SEMEATECH(CH3SH),Class
253.491,297.102,447.016,857.234,794.543,227.596,10.098,50.488,10.098,267.584,3.027,2.893,3.236,1,1,Alho
258.942,294.376,436.113,831.34,753.658,196.251,15.146,50.488,3978.42,287.779,3.033,2.89,3.236,1,1,Alho
252.128,278.022,486.538,805.446,752.295,158.091,15.146,50.488,2059.892,287.779,3.036,2.89,3.236,4,4,Alho
254.853,271.208,436.113,785.003,742.755,158.091,15.146,50.488,1292.482,287.779,3.033,2.89,3.236,13,4,Alho
246.676,267.119,452.467,786.366,697.781,134.922,15.146,50.488,1040.044,287.779,3.03,2.887,3.236,78,7,Alho
246.676,248.039,440.201,782.278,684.152,129.471,20.195,50.488,918.874,287.779,3.036,2.89,3.236,142,7,Alho
238.499,250.765,457.919,778.189,704.595,119.931,20.195,50.488,838.094,287.779,3.033,2.887,3.236,210,7,Alho
233.048,241.225,457.919,768.649,719.586,114.48,20.195,50.488,802.752,287.779,3.039,2.893,3.236,293,7,Alho
238.499,237.136,419.759,774.1,690.966,115.842,20.195,45.439,757.313,287.779,3.036,2.893,3.239,364,6,Alho
231.685,235.774,455.193,768.649,715.498,111.754,25.244,50.488,732.07,287.779,3.033,2.89,3.236,407,6,Alho
233.048,223.508,451.104,770.012,695.055,121.294,25.244,50.488,701.777,287.779,3.036,2.89,3.236,409,2,Alho
228.959,220.782,457.919,770.012,708.683,109.028,30.293,50.488,691.68,287.779,3.036,2.89,3.236,412,2,Alho
238.499,226.234,427.936,772.738,696.418,119.931,30.293,50.488,671.485,287.779,3.042,2.896,3.239,413,5,Alho
224.871,220.782,427.936,789.092,708.683,118.568,30.293,50.488,666.436,287.779,3.039,2.896,3.239,417,5,Alho
235.774,220.782,429.299,776.826,686.878,109.028,35.341,50.488,656.338,287.779,3.036,2.896,3.239,416,5,Alho
228.959,226.234,421.121,780.915,678.701,121.294,35.341,50.488,651.29,287.779,3.036,2.893,3.239,414,4,Alho
220.782,211.242,464.733,785.003,712.772,115.842,35.341,50.488,646.241,287.779,3.036,2.896,3.239,414,4,Alho
235.774,215.331,460.644,782.278,711.409,107.665,35.341,50.488,636.143,287.779,3.039,2.899,3.239,415,1,Alho
231.685,182.622,449.741,776.826,718.223,113.117,35.341,50.488,626.046,287.779,3.039,2.902,3.239,415,1,Alho
228.959,223.508,432.024,786.366,705.958,111.754,45.439,50.488,631.095,287.779,3.042,2.905,3.242,415,3,Alho
231.685,216.694,441.564,780.915,682.789,118.568,45.439,50.488,620.997,287.779,3.036,2.902,3.239,417,3,Alho
237.136,218.056,452.467,778.189,718.223,107.665,50.488,50.488,615.948,287.779,3.036,2.902,3.239,421,3,Alho
222.145,224.871,163.542,591.478,699.143,118.568,50.488,50.488,605.851,287.779,3.036,2.902,3.242,425,3,Alho
239.862,222.145,441.564,783.64,715.498,119.931,55.536,50.488,580.607,287.779,3.015,2.902,3.242,423,2,Alho
252.128,211.242,436.113,791.817,711.409,121.294,55.536,50.488,585.656,287.779,3.036,2.902,3.242,417,2,Alho
237.136,224.871,440.201,787.729,690.966,124.02,60.585,50.488,590.705,287.779,3.03,2.893,3.239,409,6,Alho
257.579,222.145,243.951,774.1,699.143,113.117,60.585,50.488,590.705,287.779,3.03,2.893,3.239,405,1,Alho
252.128,227.596,451.104,787.729,701.869,110.391,60.585,50.488,585.656,287.779,3.03,2.887,3.239,401,1,Alho
254.853,223.508,451.104,790.455,689.604,115.842,65.634,50.488,565.461,287.779,3.027,2.884,3.239,387,1,Alho
275.296,211.242,463.37,794.543,681.426,121.294,65.634,50.488,565.461,287.779,3.024,2.875,3.236,364,1,Alho
261.668,213.968,482.45,787.729,693.692,122.657,70.683,50.488,570.509,287.779,3.024,2.869,3.236,338,1,Alho
260.305,215.331,485.176,791.817,697.781,114.48,70.683,50.488,570.509,287.779,3.021,2.86,3.233,293,1,Alho
271.208,211.242,453.83,789.092,688.241,122.657,70.683,50.488,570.509,287.779,3.021,2.854,3.233,247,4,Alho
258.942,207.154,483.813,798.632,697.781,111.754,70.683,50.488,570.509,287.779,3.021,2.845,3.23,214,4,Alho
260.305,227.596,462.007,791.817,700.506,113.117,80.78,50.488,565.461,287.779,3.018,2.836,3.23,193,7,Alho
263.031,224.871,475.636,795.906,712.772,115.842,80.78,50.488,570.509,287.779,3.018,2.827,3.227,176,7,Alho
267.119,224.871,459.281,793.18,708.683,128.108,80.78,50.488,565.461,287.779,3.018,2.821,3.227,171,7,Alho
23.168,231.685,456.556,790.455,673.249,115.842,80.78,50.488,550.314,287.779,3.018,2.815,3.224,171,7,Alho
250.765,208.516,494.716,790.455,685.515,113.117,85.829,50.488,560.412,287.779,3.018,2.809,3.224,171,6,Alho
272.571,230.322,459.281,799.995,692.329,106.303,90.878,50.488,550.314,287.779,3.018,2.803,3.224,171,2,Alho
269.845,215.331,463.37,804.083,674.612,111.754,90.878,50.488,560.412,287.779,3.015,2.797,3.224,182,2,Alho
271.208,223.508,457.919,793.18,699.143,122.657,90.878,50.488,555.363,287.779,3.015,2.794,3.221,196,5,Alho
264.393,226.234,467.458,789.092,714.135,109.028,90.878,50.488,550.314,287.779,3.012,2.788,3.221,204,5,Alho
273.933,224.871,457.919,791.817,703.232,95.4,95.926,50.488,560.412,287.779,3.015,2.785,3.221,206,5,Alho
