 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,,,,,
4:08:57 AM,22-07-23,23.1,25,0.41,0.54,0.39,1.89,3.62,5.84,0.84,3.18,3.74,0.82,9.64,16.34,2.07,4.4,53.04,1.92,69.03,,,,,
4:08:58 AM,22-07-23,23.1,25,0.41,0.54,0.41,1.84,3.56,4.32,0.86,3.6,3.8,0.86,9.57,15.28,2.05,4.51,52.52,1.92,70.03,,,,,
4:08:58 AM,22-07-23,23.1,25,0.41,0.54,0.43,1.84,3.51,5.79,0.78,3.19,3.8,0.74,9.57,16.8,2.08,4.35,51.55,1.92,71.94,,,,,
4:08:59 AM,22-07-23,23.1,25,0.41,0.54,0.44,1.87,3.51,4.28,0.86,3.61,3.29,0.82,10.21,15.98,2.11,4.43,52.59,1.92,69.89,,,,,
4:08:59 AM,22-07-23,23.1,25,0.41,0.54,0.38,1.87,3.63,4.35,0.93,3.58,3.43,0.89,10.02,15.98,2.12,4.43,52.52,1.93,70.03,,,,,
4:09:00 AM,22-07-23,23.1,25,0.41,0.54,0.44,1.87,3.5,4.28,0.8,3.61,3.51,0.81,9.92,16.62,2.11,4.37,53.57,1.93,68.04,,,,,
4:09:00 AM,22-07-23,23.1,25,0.41,0.54,0.42,1.87,3.54,4.06,0.87,3.68,3.37,0.86,10.1,16.25,2.08,4.41,53.12,1.93,68.89,,,,,
4:09:02 AM,22-07-23,23.1,25,0.41,0.54,0.39,1.87,3.61,4.39,0.87,3.57,3.51,0.8,9.92,15.98,2.12,4.43,52.59,1.92,69.89,,,,,
4:09:02 AM,22-07-23,23.2,25,0.41,0.54,0.46,1.87,3.46,4.54,0.87,3.52,3.11,0.84,10.47,15.62,2.07,4.47,52.67,1.92,69.74,,,,,
4:09:02 AM,22-07-23,23.2,25,0.41,0.54,0.41,1.86,3.57,4.06,0.86,3.68,3.74,0.82,9.64,15.02,2.07,4.53,52.52,1.9,70.03,,,,,
4:09:03 AM,22-07-23,23.2,25,0.41,0.54,0.4,1.88,3.58,4.46,0.86,3.55,4.04,0.78,9.31,15.36,2.07,4.5,52.52,1.92,70.03,,,,,
4:09:03 AM,22-07-23,23.2,25,0.41,0.54,0.4,1.87,3.59,4.21,0.86,3.63,3.48,0.81,9.95,16.07,2.1,4.42,53.87,1.93,67.49,,,,,
4:09:04 AM,22-07-23,23.2,25,0.41,0.54,0.43,1.87,3.53,4.17,0.89,3.65,3.35,0.95,10.13,15.02,2.07,4.53,52.67,1.93,69.74,,,,,
4:09:04 AM,22-07-23,23.2,25,0.41,0.54,0.41,1.8,3.57,4.66,0.86,3.49,3.57,0.87,9.85,16.16,2.05,4.42,52.82,1.96,69.46,,,,,
4:09:05 AM,22-07-23,23.2,25,0.41,0.54,0.38,1.88,3.66,3.89,0.86,3.75,3.77,0.81,9.61,18.68,2.04,4.19,52.52,1.89,70.03,,,,,
4:09:05 AM,22-07-23,23.2,25,0.41,0.54,0.41,1.9,3.57,4.35,0.86,3.58,4.35,0.78,9,14.69,2.06,4.57,52.74,1.92,69.6,,,,,
4:09:06 AM,22-07-23,23.2,25,0.41,0.54,0.41,1.81,3.56,4.32,0.85,3.6,3.68,0.74,9.71,15.62,2.08,4.47,52.22,1.94,70.61,,,,,
4:09:06 AM,22-07-23,23.2,25,0.41,0.54,0.34,1.87,3.75,3.76,0.87,3.8,3.45,0.8,9.99,15.45,2.13,4.49,51.92,1.94,71.2,,,,,
4:09:07 AM,22-07-23,23.2,25,0.41,0.54,0.36,1.82,3.7,5.18,0.87,3.34,3.51,0.81,9.92,15.36,2.08,4.5,51.63,1.91,71.79,,,,,
4:09:07 AM,22-07-23,23.2,25,0.41,0.54,0.37,1.82,3.66,3.82,0.8,3.78,3.43,0.84,10.02,15.89,2.07,4.44,51.85,1.88,71.35,,,,,
4:09:08 AM,22-07-23,23.2,25,0.41,0.54,0.41,1.89,3.56,3.99,0.93,3.71,3.35,0.84,10.13,15.8,2.03,4.45,52.52,1.95,70.03,,,,,
4:09:08 AM,22-07-23,23.2,25,0.41,0.54,0.41,1.87,3.56,3.53,0.86,3.9,4.07,0.81,9.28,15.89,2.07,4.44,52.37,1.92,70.32,,,,,
4:09:09 AM,22-07-23,23.2,25,0.41,0.54,0.36,1.89,3.69,4.13,0.85,3.66,3.65,0.82,9.74,15.98,2.06,4.43,52.59,1.93,69.89,,,,,
4:09:09 AM,22-07-23,23.2,25,0.41,0.54,0.42,1.88,3.54,4.28,0.87,3.61,3.43,0.82,10.02,15.36,2.06,4.5,51.7,1.89,71.65,,,,,
4:09:10 AM,22-07-23,23.2,25,0.41,0.54,0.41,1.76,3.57,4.39,0.79,3.57,2.96,0.82,10.71,15.98,2.06,4.43,52.67,1.92,69.74,,,,,
4:09:10 AM,22-07-23,23.2,25,0.41,0.54,0.38,1.87,3.64,4.03,0.88,3.7,3.48,0.97,9.95,16.52,2.06,4.38,52.97,1.94,69.17,,,,,
4:09:11 AM,22-07-23,23.2,25,0.41,0.54,0.41,1.9,3.57,3.89,0.85,3.75,3.62,0.86,9.78,13.73,2.08,4.68,52.3,1.93,70.47,,,,,
4:09:11 AM,22-07-23,23.2,25,0.41,0.54,0.41,1.76,3.57,4.39,0.82,3.57,3.4,0.8,10.06,15.36,2.07,4.5,52,1.88,71.05,,,,,
4:09:12 AM,22-07-23,23.1,25,0.41,0.54,0.46,1.87,3.46,4.35,0.86,3.58,3.8,0.82,9.57,15.98,2.1,4.43,52.3,1.91,70.47,,,,,
4:09:13 AM,22-07-23,23.1,25,0.41,0.54,0.4,1.87,3.59,4.03,0.85,3.7,4.16,0.84,9.18,15.54,2.06,4.48,52.67,1.92,69.74,,,,,
4:09:13 AM,22-07-23,23.1,25,0.41,0.54,0.42,1.87,3.55,3.86,0.88,3.76,3.65,0.81,9.74,15.62,2.06,4.47,52.37,1.92,70.32,,,,,
4:09:14 AM,22-07-23,23.1,25,0.41,0.54,0.41,1.87,3.56,4.28,0.86,3.61,3.27,0.82,10.24,15.89,2.05,4.44,52.07,1.93,70.91,,,,,
