H2S(WE),H2S(AE),SO2(WE),SO2(AE),CO(WE),CO(AE),VOC(WE),VOC(AE),NH3(WE),NH3(AE),MICS6814(CO),MICS6814(NH3),MICS6814(NO2),SEMEATECH(NH3),SEMEATECH(CH3SH),Class
400.679,407.493,314.819,787.729,914.474,126.745,424.096,171.658,10.098,257.487,2895.791,2862.952,3221.194,1,1,Racao
440.201,430.661,363.882,748.206,895.394,92.674,444.291,156.511,3978.42,282.73,2913.703,2851.011,3215.224,1,1,Racao
447.016,410.219,340.713,704.595,889.943,68.143,439.242,131.268,2731.377,287.779,2913.703,2842.055,3212.238,4,4,Racao
449.741,403.404,367.97,697.781,849.057,38.16,434.193,116.121,1549.968,287.779,2916.688,2839.069,3209.253,9,4,Racao
433.387,385.687,333.899,678.701,857.234,36.797,429.144,100.975,1191.506,287.779,2916.688,2836.084,3209.253,54,7,Racao
436.113,387.05,328.448,674.612,850.42,34.071,429.144,100.975,1029.946,287.779,2916.688,2836.084,3206.268,100,7,Racao
427.936,373.422,344.802,663.709,804.083,16.354,424.096,95.926,944.117,287.779,2916.688,2833.099,3206.268,146,7,Racao
415.67,355.705,325.722,663.709,806.809,12.266,424.096,90.878,888.581,287.779,2916.688,2833.099,3206.268,202,7,Racao
419.759,352.979,346.165,671.886,832.703,13.629,424.096,85.829,843.142,287.779,2913.703,2827.128,3206.268,248,6,Racao
423.847,354.342,325.722,663.709,835.429,23.168,419.047,90.878,817.898,287.779,2916.688,2827.128,3206.268,277,6,Racao
421.121,354.342,325.722,666.435,801.357,23.168,424.096,90.878,792.655,287.779,2916.688,2830.113,3206.268,278,2,Racao
410.219,343.439,324.359,662.346,819.075,13.629,419.047,90.878,782.557,287.779,2916.688,2827.128,3206.268,279,5,Racao
422.484,351.616,359.793,662.346,813.623,5.451,419.047,85.829,767.411,287.779,2916.688,2827.128,3206.268,280,5,Racao
411.582,336.625,337.987,663.709,791.817,16.354,413.998,85.829,757.313,287.779,2916.688,2827.128,3206.268,280,5,Racao
419.759,336.625,357.067,662.346,814.986,16.354,419.047,90.878,752.265,287.779,2913.703,2821.157,3206.268,281,5,Racao
407.493,328.448,318.908,666.435,802.72,6.814,419.047,85.829,747.216,287.779,2913.703,2821.157,3206.268,282,4,Racao
406.13,333.899,314.819,663.709,814.986,5.451,419.047,85.829,737.118,287.779,2916.688,2824.143,3206.268,284,4,Racao
427.936,332.536,332.536,669.161,828.614,14.991,413.998,85.829,732.07,287.779,2916.688,2821.157,3206.268,286,1,Racao
415.67,133.56,324.359,659.621,834.066,25.894,424.096,85.829,732.07,287.779,2916.688,2821.157,3206.268,287,1,Racao
410.219,333.899,348.89,671.886,804.083,12.266,419.047,85.829,727.021,287.779,2916.688,2821.157,3206.268,289,3,Racao
417.033,339.35,343.439,660.984,793.18,10.903,413.998,85.829,721.972,287.779,2916.688,2821.157,3206.268,291,3,Racao
412.944,331.173,352.979,669.161,804.083,5.451,413.998,85.829,721.972,287.779,2913.703,2818.172,3206.268,292,3,Racao
417.033,331.173,332.536,659.621,834.066,16.354,424.096,90.878,716.923,287.779,2913.703,2818.172,3206.268,293,3,Racao
415.67,335.262,317.545,659.621,808.172,19.08,419.047,85.829,716.923,287.779,2916.688,2818.172,3206.268,295,2,Racao
404.767,327.085,333.899,669.161,828.614,19.08,424.096,90.878,711.875,287.779,2913.703,2818.172,3206.268,296,2,Racao
410.219,336.625,337.987,665.072,799.995,17.717,419.047,85.829,711.875,287.779,2916.688,2818.172,3206.268,297,6,Racao
408.856,328.448,352.979,656.895,799.995,9.54,419.047,90.878,711.875,287.779,2916.688,2818.172,3206.268,298,1,Racao
412.944,336.625,318.908,658.258,804.083,14.991,424.096,90.878,716.923,287.779,2916.688,2818.172,3206.268,299,1,Racao
403.404,331.173,320.27,663.709,802.72,10.903,413.998,85.829,706.826,287.779,2913.703,2818.172,3206.268,300,1,Racao
412.944,336.625,28.62,674.612,829.977,16.354,424.096,90.878,706.826,287.779,2916.688,2815.187,3206.268,301,1,Racao
406.13,327.085,332.536,669.161,831.34,20.443,413.998,85.829,701.777,287.779,2916.688,2815.187,3206.268,302,1,Racao
395.227,318.908,325.722,662.346,794.543,5.451,419.047,85.829,706.826,287.779,2913.703,2815.187,3206.268,302,1,Racao
406.13,320.27,337.987,660.984,825.889,8.177,419.047,85.829,706.826,287.779,2913.703,2815.187,3206.268,303,4,Racao
404.767,329.81,357.067,685.515,820.437,5.451,413.998,85.829,706.826,287.779,2916.688,2815.187,3206.268,304,4,Racao
410.219,331.173,332.536,663.709,793.18,19.08,413.998,85.829,701.777,287.779,2913.703,2815.187,3206.268,304,7,Racao
411.582,331.173,366.607,675.975,802.72,5.451,413.998,85.829,701.777,287.779,2916.688,2815.187,3206.268,305,7,Racao
402.042,331.173,352.979,666.435,817.712,9.54,419.047,90.878,701.777,287.779,2913.703,2815.187,3206.268,306,7,Racao
403.404,332.536,316.182,690.966,799.995,17.717,413.998,85.829,696.728,287.779,2916.688,2815.187,3206.268,306,7,Racao
418.396,329.81,359.793,666.435,817.712,8.177,413.998,85.829,701.777,287.779,2916.688,2815.187,3206.268,307,6,Racao
417.033,335.262,337.987,659.621,790.455,5.451,413.998,85.829,701.777,287.779,2913.703,2812.201,3206.268,308,2,Racao
411.582,331.173,352.979,660.984,802.72,8.177,419.047,85.829,696.728,287.779,2916.688,2812.201,3206.268,308,2,Racao
410.219,331.173,321.633,675.975,814.986,12.266,419.047,85.829,701.777,287.779,2913.703,2812.201,3206.268,309,5,Racao
400.679,331.173,320.27,666.435,827.252,16.354,419.047,85.829,701.777,287.779,2916.688,2812.201,3206.268,309,5,Racao
415.67,340.713,350.253,659.621,791.817,6.814,419.047,90.878,701.777,287.779,2916.688,2812.201,3206.268,309,5,Racao
406.13,327.085,324.359,667.798,831.34,20.443,413.998,85.829,696.728,287.779,2913.703,2812.201,3206.268,309,5,Racao
414.307,335.262,317.545,674.612,809.535,5.451,424.096,90.878,696.728,287.779,2916.688,2812.201,3206.268,310,4,Racao
418.396,335.262,344.802,669.161,789.092,4.089,419.047,85.829,696.728,287.779,2916.688,2812.201,3206.268,310,4,Racao
407.493,333.899,308.005,656.895,801.357,9.54,413.998,85.829,696.728,287.779,2916.688,2812.201,3206.268,310,1,Racao
407.493,328.448,354.342,670.524,816.349,9.54,419.047,85.829,696.728,287.779,2916.688,2812.201,3206.268,310,1,Racao
407.493,325.722,350.253,669.161,793.18,0.0,413.998,85.829,696.728,287.779,2916.688,2812.201,3206.268,311,3,Racao
406.13,325.722,363.882,671.886,805.446,14.991,413.998,85.829,696.728,287.779,2916.688,2812.201,3206.268,311,3,Racao
410.219,327.085,351.616,663.709,827.252,8.177,419.047,85.829,696.728,287.779,2913.703,2809.216,3206.268,311,3,Racao
404.767,333.899,348.89,669.161,793.18,6.814,419.047,90.878,696.728,287.779,2916.688,2809.216,3206.268,311,3,Racao
421.121,325.722,333.899,658.258,827.252,8.177,419.047,85.829,691.68,287.779,2916.688,2812.201,3206.268,312,2,Racao
404.767,328.448,337.987,666.435,821.8,14.991,419.047,85.829,691.68,287.779,2913.703,2809.216,3206.268,312,6,Racao
412.944,327.085,318.908,681.426,798.632,9.54,413.998,85.829,691.68,287.779,2913.703,2812.201,3206.268,312,6,Racao
403.404,331.173,337.987,656.895,793.18,8.177,413.998,85.829,691.68,287.779,2913.703,2809.216,3206.268,312,1,Racao
403.404,332.536,354.342,671.886,814.986,10.903,419.047,85.829,706.826,287.779,2916.688,2812.201,3206.268,312,1,Racao
411.582,327.085,384.324,658.258,824.526,14.991,419.047,85.829,696.728,287.779,2913.703,2809.216,3206.268,312,1,Racao
399.316,316.182,332.536,659.621,790.455,32.708,413.998,85.829,686.631,287.779,2916.688,2812.201,3206.268,312,1,Racao
399.316,329.81,355.705,667.798,810.897,6.814,419.047,90.878,691.68,287.779,2913.703,2809.216,3206.268,312,1,Racao
399.316,320.27,318.908,660.984,813.623,13.629,419.047,85.829,691.68,287.779,2916.688,2809.216,3206.268,313,1,Racao
411.582,332.536,354.342,669.161,809.535,9.54,413.998,90.878,686.631,287.779,2913.703,2809.216,3206.268,313,4,Racao
402.042,339.35,324.359,665.072,791.817,14.991,419.047,85.829,691.68,287.779,2916.688,2809.216,3206.268,313,4,Racao
402.042,328.448,317.545,673.249,810.897,10.903,419.047,90.878,691.68,287.779,2913.703,2812.201,3206.268,313,7,Racao
403.404,327.085,313.456,663.709,806.809,10.903,419.047,90.878,691.68,287.779,2913.703,2809.216,3206.268,313,7,Racao
406.13,332.536,324.359,656.895,828.614,14.991,413.998,90.878,691.68,287.779,2913.703,2809.216,3206.268,314,7,Racao
407.493,333.899,342.076,671.886,793.18,8.177,413.998,85.829,691.68,287.779,2916.688,2812.201,3206.268,314,6,Racao
396.59,324.359,318.908,667.798,817.712,9.54,419.047,85.829,686.631,287.779,2913.703,2809.216,3206.268,314,6,Racao
407.493,340.713,352.979,658.258,797.269,16.354,413.998,85.829,691.68,287.779,2916.688,2809.216,3206.268,314,2,Racao
404.767,340.713,340.713,660.984,793.18,8.177,419.047,85.829,691.68,287.779,2913.703,2809.216,3206.268,314,2,Racao
396.59,324.359,321.633,667.798,827.252,12.266,413.998,90.878,686.631,287.779,2916.688,2809.216,3206.268,314,5,Racao
406.13,324.359,336.625,674.612,824.526,6.814,413.998,85.829,691.68,287.779,2913.703,2809.216,3206.268,314,5,Racao
415.67,337.987,355.705,665.072,816.349,13.629,413.998,85.829,686.631,287.779,2916.688,2809.216,3206.268,314,5,Racao
411.582,336.625,348.89,669.161,819.075,13.629,419.047,90.878,691.68,287.779,2913.703,2809.216,3206.268,315,5,Racao
414.307,324.359,376.147,678.701,797.269,5.451,413.998,85.829,681.582,287.779,2913.703,2809.216,3206.268,315,4,Racao
414.307,340.713,331.173,666.435,829.977,17.717,413.998,90.878,686.631,287.779,2913.703,2809.216,3206.268,315,4,Racao
408.856,332.536,346.165,669.161,791.817,13.629,419.047,90.878,691.68,287.779,2913.703,2809.216,3206.268,315,1,Racao
419.759,336.625,310.73,665.072,825.889,9.54,413.998,90.878,691.68,287.779,2913.703,2806.23,3206.268,315,1,Racao
414.307,331.173,324.359,662.346,831.34,20.443,413.998,90.878,691.68,287.779,2916.688,2809.216,3206.268,315,3,Racao
414.307,331.173,340.713,666.435,831.34,16.354,413.998,85.829,732.07,287.779,2913.703,2806.23,3206.268,315,3,Racao
410.219,331.173,336.625,666.435,790.455,6.814,419.047,90.878,686.631,287.779,2913.703,2806.23,3206.268,316,3,Racao
399.316,329.81,316.182,659.621,791.817,8.177,413.998,85.829,686.631,287.779,2916.688,2806.23,3206.268,316,2,Racao
395.227,329.81,343.439,671.886,827.252,6.814,413.998,85.829,681.582,287.779,2913.703,2803.245,3206.268,316,2,Racao
402.042,355.705,320.27,660.984,828.614,17.717,413.998,85.829,681.582,287.779,2913.703,2809.216,3206.268,316,6,Racao
408.856,339.35,337.987,663.709,794.543,6.814,419.047,90.878,676.533,287.779,2913.703,2806.23,3206.268,316,6,Racao
410.219,337.987,352.979,663.709,817.712,14.991,413.998,85.829,686.631,287.779,2913.703,2806.23,3206.268,316,1,Racao
402.042,329.81,358.43,663.709,816.349,14.991,419.047,85.829,691.68,287.779,2913.703,2806.23,3206.268,316,1,Racao
402.042,325.722,331.173,663.709,828.614,16.354,413.998,85.829,686.631,287.779,2913.703,2806.23,3206.268,316,1,Racao
407.493,328.448,317.545,666.435,660.984,6.814,413.998,90.878,686.631,287.779,2913.703,2806.23,3206.268,316,1,Racao
400.679,333.899,359.793,665.072,813.623,14.991,419.047,85.829,691.68,287.779,2916.688,2806.23,3206.268,316,1,Racao
407.493,329.81,362.519,685.515,825.889,9.54,419.047,85.829,681.582,287.779,2913.703,2806.23,3206.268,316,1,Racao
397.953,314.819,354.342,667.798,816.349,21.806,413.998,90.878,691.68,287.779,2916.688,2809.216,3206.268,316,4,Racao
