TIME,VOC (ppb),VOC (ug m-3),VOC (Temperatura),VOC (Umidade),H2S (ppb),H2S (ug m-3),H2S (Temperatura),H2S (Umidade),SO2 (ppb),SO2 (ug m-3),SO2 (Temperatura),SO2 (Umidade),NH3 (ppb),NH3 (ug m-3),NH3 (Temperatura),NH3 (Umidade),CH3SH (ppb),CH3SH (ug m-3),CH3SH (Temperatura),CH3SH (Umidade),BME280 - TEMPERATURA,BME280 - PRESSAO,BME280 - UMIDADE,Class
22/10/24 11:29:50,0,2,30.3,48.43,1,1,28.4,53.64,0,0,28.68,50.65,1,0,28.42,50.71,85,165,28.53,53.31,28.92,101346,51.981,Racao
22/10/24 11:29:55,3,8,30.3,48.52,1,1,28.41,53.65,0,0,28.69,50.76,1,0,28.44,50.93,44,199,28.55,53.38,28.97,101345,52.057,Racao
22/10/24 11:30:0,3,8,30.3,48.65,4,5,28.43,53.69,0,0,28.68,50.97,4,2,28.47,50.94,4,7,28.55,53.38,28.99,101342,52.024,Racao
22/10/24 11:30:6,3,8,30.31,48.73,4,5,28.43,53.7,-3,-8,28.68,51.1,4,2,28.47,51.04,4,7,28.55,53.45,29.0,101342,51.841,Racao
22/10/24 11:30:11,6,14,30.32,48.79,7,9,28.44,53.75,-9,-25,28.7,51.14,7,4,28.47,51.22,7,13,28.55,53.45,29.0,101341,51.552,Racao
22/10/24 11:30:16,6,14,30.32,48.9,14,19,28.44,53.84,-18,-46,28.7,51.3,7,4,28.44,51.37,7,13,28.56,53.56,29.02,101344,51.577,Racao
22/10/24 11:30:21,6,14,30.32,48.96,20,28,28.46,53.82,-24,-63,28.7,51.44,7,4,28.48,51.39,7,13,28.56,53.56,29.03,101343,51.646,Racao
22/10/24 11:30:27,6,14,30.3,49.06,29,40,28.44,53.81,-32,-80,28.72,51.58,7,4,28.45,51.52,7,13,28.55,53.57,29.03,101345,51.624,Racao
22/10/24 11:30:32,5,12,30.32,49.11,35,49,28.46,53.86,-39,-101,28.72,51.64,6,4,28.49,51.68,6,11,28.58,53.66,29.04,101347,51.44,Racao
22/10/24 11:30:37,5,12,30.32,49.19,43,60,28.44,53.91,-45,-118,28.73,51.72,6,4,28.48,51.76,6,11,28.58,53.72,29.04,101344,51.406,Racao
22/10/24 11:30:42,1,4,30.32,49.25,48,66,28.47,53.92,-49,-127,28.72,51.89,6,4,28.49,51.77,6,11,28.59,53.73,29.05,101348,51.476,Racao
22/10/24 11:30:47,1,4,30.32,49.35,48,67,28.46,53.98,-49,-128,28.73,51.92,2,1,28.49,51.74,2,3,28.6,53.77,29.05,101347,51.487,Racao
22/10/24 11:30:53,4,4,30.34,49.36,49,67,28.46,53.94,-49,-128,28.73,52.04,2,1,28.48,51.9,2,3,28.59,53.81,29.06,101347,51.361,Racao
22/10/24 11:30:58,4,10,30.34,49.41,49,67,28.47,54.03,-49,-128,28.72,52.12,5,3,28.49,52.01,5,9,28.6,53.87,29.06,101344,51.281,Racao
22/10/24 11:31:3,4,10,30.37,49.45,49,67,28.49,54.03,-49,-127,28.73,52.21,5,3,28.51,52.02,5,9,28.6,53.87,29.07,101343,51.305,Racao
22/10/24 11:31:8,4,10,30.35,49.51,49,67,28.49,54.06,-48,-126,28.76,52.33,5,3,28.51,52.04,5,9,28.59,53.87,29.07,101345,51.34,Racao
22/10/24 11:31:14,4,10,30.37,49.59,49,67,28.49,54.05,-48,-125,28.72,52.37,5,3,28.52,52.21,5,9,28.62,53.92,29.08,101343,51.282,Racao
22/10/24 11:31:19,3,8,30.37,49.6,49,67,28.5,54.16,-48,-124,28.76,52.48,4,2,28.51,52.31,4,7,28.62,53.97,29.08,101341,51.179,Racao
22/10/24 11:31:24,3,8,30.37,49.64,49,67,28.51,54.12,-47,-123,28.75,52.55,4,2,28.52,52.32,4,7,28.6,53.98,29.08,101340,51.168,Racao
22/10/24 11:31:30,0,2,30.37,49.7,49,67,28.49,54.12,-47,-122,28.76,52.62,4,2,28.52,52.34,1,1,28.62,54.02,29.09,101339,51.203,Racao
22/10/24 11:31:35,0,2,30.37,49.73,49,67,28.51,54.2,-46,-121,28.76,52.67,1,0,28.52,52.44,1,1,28.62,54.04,29.09,101340,51.157,Racao
22/10/24 11:31:41,2,6,30.38,49.77,49,67,28.51,54.21,-46,-120,28.75,52.75,1,0,28.54,52.53,3,5,28.63,54.05,29.09,101340,51.088,Racao
22/10/24 11:31:46,2,6,30.37,49.79,48,67,28.51,54.25,-46,-119,28.77,52.81,3,2,28.52,52.57,3,5,28.63,54.1,29.09,101340,51.088,Racao
22/10/24 11:31:52,2,6,30.39,49.82,47,65,28.53,54.23,-45,-118,28.76,52.87,3,2,28.52,52.63,3,5,28.62,54.13,29.1,101341,51.1,Racao
22/10/24 11:31:57,2,6,30.37,49.88,47,65,28.5,54.24,-45,-117,28.76,52.91,3,2,28.56,52.71,3,5,28.65,54.15,29.1,101342,51.054,Racao
22/10/24 11:32:3,1,4,30.41,49.89,46,64,28.53,54.29,-45,-117,28.76,52.96,3,2,28.54,52.79,3,5,28.63,54.13,29.1,101340,51.02,Racao
22/10/24 11:32:8,1,4,30.41,49.92,45,63,28.51,54.3,-44,-116,28.79,53.02,2,1,28.56,52.81,2,3,28.66,54.16,29.1,101339,51.055,Racao
22/10/24 11:32:14,5,12,30.41,49.94,44,61,28.54,54.33,-44,-115,28.8,53.09,2,1,28.56,52.81,2,3,28.67,54.22,29.11,101341,51.031,Racao
22/10/24 11:32:19,5,12,30.39,49.95,43,60,28.51,54.34,-44,-114,28.79,53.12,6,4,28.55,52.87,6,11,28.63,54.21,29.11,101340,50.963,Racao
22/10/24 11:32:25,5,12,30.41,49.98,43,59,28.54,54.37,-44,-113,28.8,53.14,6,4,28.54,52.94,6,11,28.63,54.26,29.11,101342,50.94,Racao
22/10/24 11:32:30,0,2,30.38,49.99,43,59,28.54,54.4,-43,-112,28.79,53.24,1,0,28.55,53.02,1,1,28.65,54.27,29.11,101341,50.951,Racao
22/10/24 11:32:36,0,2,30.42,50.05,42,59,28.54,54.37,-43,-112,28.79,53.27,1,0,28.55,53.0,1,1,28.67,54.28,29.11,101340,50.951,Racao
22/10/24 11:32:41,0,2,30.41,50.03,42,59,28.55,54.41,-42,-111,28.8,53.27,1,0,28.55,53.08,1,1,28.65,54.3,29.11,101342,50.905,Racao
22/10/24 11:32:47,0,2,30.42,50.05,42,58,28.54,54.46,-42,-110,28.82,53.35,1,0,28.56,53.14,1,1,28.66,54.31,29.12,101341,50.905,Racao
22/10/24 11:32:52,0,2,30.42,50.09,42,57,28.55,54.49,-42,-109,28.79,53.42,1,0,28.56,53.15,1,1,28.66,54.31,29.12,101339,50.905,Racao
22/10/24 11:32:58,0,2,30.44,50.09,42,57,28.55,54.54,-42,-109,28.8,53.42,1,0,28.58,53.15,1,1,28.67,54.37,29.12,101339,50.812,Racao
22/10/24 11:33:3,3,8,30.44,50.09,42,58,28.54,54.46,-41,-108,28.83,53.49,1,0,28.58,53.25,4,7,28.67,54.37,29.12,101339,50.837,Racao
22/10/24 11:33:9,3,8,30.44,50.11,42,57,28.58,54.52,-41,-108,28.8,53.45,4,2,28.59,53.29,4,7,28.67,54.35,29.12,101338,50.837,Racao
22/10/24 11:33:14,6,14,30.45,50.13,41,57,28.55,54.51,-41,-107,28.8,53.53,4,2,28.58,53.28,7,13,28.66,54.36,29.13,101339,50.825,Racao
22/10/24 11:33:20,6,14,30.45,50.15,41,57,28.57,54.54,-41,-106,28.82,53.56,7,4,28.58,53.31,7,13,28.69,54.41,29.13,101342,50.825,Racao
22/10/24 11:33:25,6,14,30.42,50.11,42,57,28.57,54.54,-41,-106,28.82,53.55,7,4,28.58,53.33,7,13,28.69,54.39,29.12,101336,50.768,Racao
22/10/24 11:33:31,6,14,30.45,50.15,42,58,28.57,54.57,-40,-105,28.8,53.62,7,4,28.59,53.37,7,13,28.67,54.41,29.13,101337,50.78,Racao
22/10/24 11:33:36,5,12,30.45,50.15,42,58,28.57,54.57,-40,-104,28.83,53.62,7,4,28.59,53.4,6,11,28.67,54.44,29.13,101341,50.78,Racao
22/10/24 11:33:42,5,12,30.44,50.14,42,58,28.57,54.61,-40,-103,28.83,53.69,6,4,28.59,53.42,6,11,28.7,54.41,29.13,101342,50.757,Racao
22/10/24 11:33:47,1,4,30.45,50.15,42,58,28.57,54.63,-39,-102,28.83,53.7,6,4,28.61,53.53,6,11,28.7,54.42,29.14,101341,50.724,Racao
22/10/24 11:33:52,1,4,30.48,50.2,42,58,28.58,54.65,-39,-101,28.83,53.77,2,1,28.61,53.54,2,3,28.69,54.46,29.13,101339,50.712,Racao
