PC1,PC2,label
-1057.2514877686954,-157.75532165578443,Racao
-1046.7461496441883,-71.19607398158223,Racao
-1044.574789224529,-80.61146883676884,Racao
-1044.4256531071496,-80.51943755481625,Racao
-1032.5868365669721,-81.21347668875205,Racao
-1022.1462221588772,-91.41670064272148,Racao
-1008.3278579562902,-92.49890992639848,Racao
-995.9519584073296,-83.35143824795705,Racao
-983.0192203673068,-83.5942643642411,Racao
-971.2735083500193,-84.0500137723684,Racao
-965.3128785071585,-84.16647343057411,Racao
-965.2351329193662,-83.91519583286572,Racao
-964.5152627854168,-83.8087328286274,Racao
-965.2614610947421,-83.4462471409206,Racao
-965.7834180399932,-83.50530697022077,Racao
-966.8658050890554,-83.67268066922588,Racao
-966.673982501181,-83.73886195393243,Racao
-967.5652250944004,-83.37247736477184,Racao
-967.8637073327445,-83.55880924204212,Racao
-967.9355704221616,-83.40043611902729,Racao
-968.9662356469253,-83.64708262179556,Racao
-969.5226361257064,-83.58049260820007,Racao
-969.373292721315,-83.48622092834557,Racao
-969.2241086110262,-83.39367380456679,Racao
-968.7760818857478,-83.11044604650124,Racao
-969.3001864285507,-83.64376980622183,Racao
-968.525216133201,-83.23617670731437,Racao
-968.7159878180191,-83.77067595698645,Racao
-967.3153582986597,-83.49553036030557,Racao
-967.4165825987893,-83.27726351728779,Racao
-967.2651796190585,-83.1820987031897,Racao
-967.5637021862749,-83.36882841883926,Racao
-967.4906481225134,-83.52698159644387,Racao
-967.5636971423355,-83.36865366547863,Racao
-966.9556705880241,-83.87103376409141,Racao
-966.2029198950822,-83.53394648911126,Racao
-966.2041080393556,-83.53377061072206,Racao
-965.9055075046599,-83.34639271420383,Racao
-965.9158295163088,-83.31468787784434,Racao
-966.0560270209844,-83.44036195392982,Racao
-965.9067377362353,-83.34672893737661,Racao
-966.0773101710984,-83.36072215416607,Racao
-965.5305473749049,-80.2876752797074,Racao
-965.9062863230647,-83.34624776081364,Racao
-965.756924264555,-83.25179004054553,Racao
-965.7869425016379,-81.26729692847402,Racao
-964.9815881181094,-81.36396662696825,Racao
-965.0959856566533,-80.41300170792056,Racao
-964.9467033563633,-80.31936064621368,Racao
-964.2735104273215,-78.30917291439437,Racao
-963.5172351712208,-74.03054029923078,Racao
-963.752122838705,-78.1856772867286,Racao
-963.5335396773025,-80.56086038650028,Racao
-962.4329169868888,-73.85931903338496,Racao
-962.8806292688278,-74.13869941701887,Racao
-961.5207850755651,-74.3053035886769,Racao
-961.8089379007761,-76.39611955081637,Racao
-961.5420772298894,-74.22574592794444,Racao
-960.8544347950792,-76.40064448781413,Racao
-960.7493751377642,-78.5431378673693,Racao
-960.1656335778061,-78.67027700153267,Racao
-959.782736699588,-74.42241304166782,Racao
-958.8281527974923,-74.42631680181694,Racao
-958.8068744815446,-74.50581622026039,Racao
-958.9540142888236,-74.59795565095192,Racao
-958.9539897582545,-74.59756982282852,Racao
-959.0907506442418,-74.73526852199939,Racao
-959.0907097785403,-74.73475104379213,Racao
-958.8046640475459,-74.50344518405836,Racao
-959.0817551605287,-74.76835849950476,Racao
-958.9338227922035,-74.67646921111009,Racao
-959.0830130738996,-74.76904112759621,Racao
-959.1125185304718,-74.71020068932012,Racao
-959.1125093170613,-74.70999695368482,Racao
-958.8870387419956,-74.36505009734174,Racao
-958.8869366629806,-74.36397041613418,Racao
-958.6360451492183,-74.48903962140321,Racao
-958.6093214838693,-74.09785046187062,Racao
-957.4599361029941,-74.65256578184926,Racao
-957.2468688532972,-74.26204243049688,Racao
-957.0864207337709,-74.21440329046527,Racao
-957.2356934387917,-74.30792656459926,Racao
-957.0986834293653,-74.16745549569714,Racao
-957.0988484433783,-74.16914386406825,Racao
-957.4185296027499,-74.27487796430978,Racao
-956.4635096218808,-74.2780406509628,Racao
-956.61283837669,-74.37219745860602,Racao
-956.4409612346735,-74.35703561937953,Racao
-956.7394891371296,-74.54371484463991,Racao
-956.813448646175,-74.38687343930542,Racao
-956.7189389221421,-74.6228579302715,Racao
-956.7190456818462,-74.62398548277088,Racao
-956.718940596249,-74.6228619953672,Racao
-956.3122459055121,-74.7833616006883,Racao
-956.321257381318,-74.75050594434651,Racao
-956.1859279788605,-74.61086126476948,Racao
-956.164670298258,-74.69099312857361,Racao
-955.3572145681956,-74.7864779793781,Racao
-955.3572395453302,-74.78659423526005,Racao
-955.3570281501834,-74.78416801417188,Racao
-955.6556880573607,-74.97246089972032,Racao
-955.6557590726588,-74.97312533491277,Racao
-955.1002344828303,-75.04062067965424,Racao
-954.7426789063593,-75.41753187431459,Racao
-954.4667540821065,-75.15248445343605,Racao
-954.3173686574937,-75.0576503244265,Racao
-952.9579224568624,-75.2244764052466,Racao
-952.9579302243146,-75.22457164267871,Racao
-952.9455572880488,-75.27035247172716,Racao
-952.8694341160972,-75.01962207839824,Racao
-952.7319376970299,-74.87828951339543,Racao
-952.0972331000321,-74.98972755710383,Racao
-952.7638674127375,-74.75154339053006,Racao
-951.9674663713395,-74.81417481081917,Racao
-952.3405189220903,-74.84607603722907,Racao
-951.3987661591436,-69.42816688116909,Racao
-951.5266968256619,-69.60076182971352,Racao
-952.4684026107134,-75.01821428310541,Racao
-952.0202228925791,-74.73807310433949,Racao
-951.3983902696764,-69.42849162766652,Racao
-950.7607463790882,-64.21548099396387,Racao
-950.8157185100736,-67.14695236617627,Racao
-951.0224244698402,-67.60228760427162,Racao
-950.9800304694254,-64.54010614885374,Racao
-950.6814934122831,-64.35314449802536,Racao
-950.5232625972349,-64.29307657319805,Racao
-950.6255376484205,-64.62213133592559,Racao
-949.9672322646311,-64.35957001497081,Racao
-950.2747512394344,-64.51307382139021,Racao
-950.777124050479,-64.11635967002258,Racao
-950.7681030811873,-64.14922997321992,Racao
-950.753753845851,-64.19488287937202,Racao
-950.0399686694891,-64.2020201062096,Racao
-949.3197898994513,-64.51681726387324,Racao
-949.1704776176393,-64.42292905325121,Racao
-949.3109843455823,-64.55248392893736,Racao
-949.2983580174059,-64.59493434098476,Racao
-949.2995681613629,-64.59514819796823,Racao
-949.1627293802812,-64.4566996324811,Racao
-949.172888864794,-64.42330535951987,Racao
-949.3221581600374,-64.51675607294055,Racao
-949.3221865701762,-64.51671278931462,Racao
-948.4956047981705,-64.69395627507947,Racao
-947.9524204159079,-64.71537735413949,Racao
-949.449719135604,-64.68950613882589,Racao
-949.833643074373,-64.67195021968473,Racao
-949.298673795458,-64.59411930566785,Racao
-949.1494211564295,-64.50094671168881,Racao
-949.2025412451021,-64.42394597441489,Racao
-949.3730602830219,-64.43735981145983,Racao
-949.2519124354876,-64.28320153519417,Racao
-949.2023900252134,-64.42229378760385,Racao
-949.2784391625373,-64.67709577591631,Racao
-949.2658218230263,-64.71963573782523,Racao
-949.2006953642212,-64.42111828531961,Racao
-949.1488418983354,-64.49900948189315,Racao
-949.9549255641887,-64.4013628936973,Racao
-949.2989583741928,-64.59268635247463,Racao
-949.149596595018,-64.49830025475967,Racao
-948.8633801343221,-64.26531188260014,Racao
-949.0122771813112,-64.35883112993179,Racao
-949.1705268462847,-64.41916234959899,Racao
-949.0002412715767,-64.40526658188173,Racao
-948.0471435125492,-64.41078078141072,Racao
-948.0258234610501,-64.49002784408367,Racao
-947.6385846561698,-64.56850840502011,Racao
-947.860995416584,-64.5043765410428,Racao
-947.9889714855872,-64.677550350616,Racao
-947.6905153268126,-64.49138989183302,Racao
-946.4250218563411,-64.35374174000208,Racao
-946.4250515046824,-64.35435129221878,Racao
-946.4667144783089,-64.24733568015108,Racao
-946.7584477169712,-64.41574924969609,Racao
-946.4734639812468,-64.1831749323228,Racao
-946.3241717704659,-64.0895355871744,Racao
-946.5106033665652,-64.08947179365896,Racao
-946.3612732079855,-63.99536577799881,Racao
-945.5404196742711,-63.75002200312156,Racao
-945.0336914890813,-64.03454441833856,Racao
-945.0196441224416,-64.07924782568625,Racao
-945.0319200100093,-64.03258368355455,Racao
-945.033223074417,-64.03372603569733,Racao
-944.883908674672,-63.940074224614364,Racao
-944.7347077921713,-63.84702795837802,Racao
-944.5640738854727,-63.83245215779607,Racao
-944.4024420344122,-63.7849004964628,Racao
-944.7005033036658,-63.97086221926838,Racao
-943.7459094556452,-63.97445897392754,Racao
-942.8693474277898,-63.93441665338469,Racao
-943.6952288038374,-64.11408722917258,Racao
-944.5562174912102,-64.34756188719984,Racao
-944.1814967163664,-63.909430593605066,Racao
-943.5254978866778,-64.10046151115057,Racao
-942.6995433576667,-63.92005376957968,Racao
-942.8079500513231,-64.12020344391749,Racao
-942.9695047783043,-64.1671859924354,Racao
-942.672952326513,-63.98507539527054,Racao
-942.5232674009785,-63.88675499172314,Racao
-942.5493471970785,-63.8251873916106,Racao
-942.698653966092,-63.919185653579916,Racao
-942.819805030289,-64.0732430904227,Racao
-942.3035987645144,-61.57314733730891,Racao
-942.2801664804138,-59.256151796886115,Racao
-941.8196029851224,-53.99020886337166,Racao
-941.5966530779388,-54.04799579349128,Racao
-941.4131127949586,-46.5843837107077,Racao
-942.1898366430414,-46.54318781119582,Racao
-943.4819089508492,-49.62567071470039,Racao
-943.253941169356,-44.2012901883154,Racao
-945.2304749855248,-43.86808185628979,Racao
-946.9373596213118,-44.196652402581094,Racao
-950.2623023421729,-43.74921636950057,Racao
-954.557223611444,-35.402333099324096,Racao
-960.5499329274917,-42.60876037246453,Racao
-966.4577938065358,-39.83156034808417,Racao
-972.9170070738364,-34.0515735701083,Racao
-979.9976587509627,-33.22561065529044,Racao
-986.5621521212597,-30.081340884264137,Racao
-993.2155899369081,-29.25242380820964,Racao
-998.907698904266,-28.557861720537403,Racao
-1004.9772671917544,-25.829245160221035,Racao
-1011.0461041492017,-17.724862626504546,Racao
-1016.7104032555671,-17.089926326189016,Racao
-1023.1839888868344,-16.67376369453632,Racao
-1028.5787773656848,-15.792594163134709,Racao
-1039.939882402903,-14.782235527727607,Racao
-1039.9394298886127,-14.777367478334781,Racao
-1036.8411083486753,-12.042801674639122,Racao
-1035.5302326121655,-4.6662861143486225,Racao
-1035.3895758089093,-4.53560117278721,Racao
-1035.4669466931973,-4.782914024857746,Racao
-1034.977268738743,-2.6718880012922455,Racao
-1035.4254129771161,4.900828688410911,Racao
-1035.3237314146736,4.687082739228572,Racao
-1030.2863799057104,4.192489584560462,Racao
-1030.2860068095488,4.1961836115388,Racao
-1036.8327485145346,4.769944479336118,Racao
-1036.8321769581344,4.776117164905372,Racao
-1036.9409744153909,6.510921780851277,Racao
-1035.8935050715427,14.056552948444732,Racao
-1035.5957778685442,14.247448319592877,Racao
-1035.5222998078498,14.09382232450298,Racao
-1031.966888210909,13.609772862611862,Racao
-1031.9788208230912,13.660306560979734,Racao
-1027.8739492859077,15.546756575697145,Racao
-1026.9112141522237,22.87504446614912,Racao
-1026.7615086684127,22.972903156427492,Racao
-1026.7595289039964,22.977367938596217,Racao
-1026.549079491071,22.9633774115282,Racao
-1027.215010711565,23.190298694420562,Racao
-1027.3852233992366,23.18004181744618,Racao
-1031.8417810699502,32.8828652720149,Racao
-1031.889329671827,32.57621247801217,Racao
-1027.6275261965966,32.6676382868518,Racao
-1027.8694698911168,35.43454454105995,Racao
-1027.6981316341044,37.441471458598244,Racao
-1027.9208869410977,32.63994585106229,Racao
-1028.2270226047967,42.90647715300838,Racao
-1028.3353838271396,42.71106577840146,Racao
-1031.575773538898,43.37429309190702,Racao
-1031.6518351627055,43.124348783461755,Racao
-1030.061867239925,43.01225184709983,Racao
-1028.6640676053084,43.11612323024019,Racao
-1028.205782526009,47.213847167415224,Racao
-1027.573059312952,52.478624107139694,Racao
-1027.5726218123273,52.48317469220274,Racao
-1028.6548985107038,54.79273402544459,Racao
-1028.921456994818,52.62564720433147,Racao
-1024.0650632237484,54.02096123452793,Racao
-1023.0266261431607,61.599503903782534,Racao
-1028.74152553993,62.43671496573734,Racao
-1028.9027345807444,62.39370844487166,Racao
-1028.9247928762143,62.47776552065989,Racao
-1028.936793500341,62.52761378953437,Racao
-1028.873679637296,62.4051881337582,Racao
-1028.0842541237216,69.65750331803429,Racao
-1024.5280520713532,71.10454253547141,Racao
-1023.930479028686,71.48363020898796,Racao
-1024.1233315331774,69.16062696298832,Racao
-1020.7010308259851,70.8762194881474,Racao
-1020.5079675390134,72.80445099261851,Racao
-1020.6254201649244,70.72878009541091,Racao
-1020.4768575561648,70.82808865342486,Racao
-1020.9057437452793,73.98573908242724,Racao
-1020.9664816172244,73.49498502781535,Racao
-1024.620351178044,81.12772680905255,Racao
-1025.048545525362,80.82482527848697,Racao
-1021.8196333239848,80.21245027040823,Racao
-1021.7461115725819,80.05919235361762,Racao
-1021.668308548702,80.31468446936742,Racao
-1019.74067274552,88.51978117219551,Racao
-1021.1735606199018,91.46669180091158,Racao
-1021.4280786087693,88.64773530207094,Racao
-1021.0997957359195,91.31610774467299,Racao
-1024.6261009268364,91.74918055992202,Racao
-1024.7747332745512,91.65834486020685,Racao
-1022.0370016200086,91.31726010360762,Racao
-1021.8890825217532,91.41342497179176,Racao
-1021.8887468340727,91.41677365515716,Racao
-1022.1118083716519,91.07638362535727,Racao
-1023.9201401708015,90.96378300809374,Racao
-1023.4722120667811,91.24569041920404,Racao
-1018.5843093901458,90.65534073491108,Racao
-1018.5840053171796,90.65870141280539,Racao
-1024.4573085891625,91.85905391372944,Racao
-1024.4885450449638,93.84726310654696,Racao
-1023.5793859004243,101.25168750622652,Racao
-1023.5060936860718,101.09569527634267,Racao
-1023.805621230229,100.91120774377305,Racao
-1024.1799876101268,100.47659298341932,Racao
-1023.9542897776882,100.82395466068556,Racao
-1020.2364220477102,102.31897826538261,Racao
-1019.8610003350896,102.76057688699802,Racao
-1017.1978965885792,99.79054196822108,Racao
-1015.5395667048997,107.662556365196,Racao
-1015.2723873865307,109.83623127744067,Racao
-1015.9255475806312,104.64093078805672,Racao
-1016.2364754419941,109.88025444374398,Racao
-1016.0870414356505,109.97542219231946,Racao
-1021.1236640453426,110.47780307332505,Racao
-1020.9859749843818,110.62107064422526,Racao
-1017.309558244202,110.28994408960352,Racao
-1017.2319922092793,110.54306981974696,Racao
-1017.009379659823,110.48164647785416,Racao
-1016.4436075361409,112.84280634744573,Racao
-1015.8328157622909,120.05806535458396,Racao
-1016.7455506699571,120.5056994821407,Racao
-1017.72699701907,115.8854690128519,Racao
-1021.4806604933037,113.34888355919247,Racao
-1021.2045044875977,116.71467582217338,Racao
-1017.9971671495696,120.33427586844664,Racao
-1017.7001300187112,120.52209111347838,Racao
-1017.7760431717834,120.27360900914027,Racao
-1018.2213800453173,119.99880967723766,Racao
-1019.4327991465907,120.2580762314683,Racao
-1019.2833807530733,120.35311079485837,Racao
-1014.5446866477614,119.67007245127752,Racao
-1014.3190589796104,120.01661172997956,Racao
-1014.3189813448753,120.01742980700328,Racao
-1020.0029810771794,123.1348625675364,Racao
-1019.2418512109161,130.44656297547044,Racao
-1019.3921365463393,130.35487933507284,Racao
-1019.3189687171507,130.1980556733506,Racao
-1019.3187473454182,130.20014918214474,Racao
-1018.9438486989475,130.64033588199163,Racao
-1015.5660995940361,130.12089659081357,Racao
-1015.4161912016316,130.216900106283,Racao
-1012.3369085020095,129.51137060409383,Racao
-1012.6335813449878,129.32733882620778,Racao
-1012.1078550296224,132.48243136082965,Racao
-1011.2718905263755,140.04363790539173,Racao
-1011.7052144051577,140.17341631708405,Racao
-1011.8544626644816,140.08032267260023,Racao
-1016.516442221322,141.0199481768086,Racao
-1016.6774495697518,140.97486555991964,Racao
-1016.3787673178267,141.16321229129244,Racao
-1012.7011096945625,140.83242649476233,Racao
-1013.1487332537035,140.554172719083,Racao
-1013.3267807825869,140.5228878310154,Racao
-1013.3267275805047,140.5232149411513,Racao
-1014.5097452318387,140.72519529468627,Racao
-1014.5376859398111,140.7880932195967,Racao
-1017.8979188909943,143.69092265956715,Racao
-1016.8584869819715,150.7329739568122,Racao
-1014.3141287589042,150.3717958897887,Racao
-1014.3246068953995,150.40621626315988,Racao
-1014.0259468880304,150.59430903490647,Racao
-1014.2461373143051,150.66067840534924,Racao
-1015.3081258619313,151.01537459090468,Racao
-1015.3079217405702,151.01714975883442,Racao
-1015.5301535364688,151.08306353551052,Racao
-1010.3437749287477,150.67919793577494,Racao
-1010.4929298529914,150.5870949668224,Racao
-1016.7424132650813,151.3462430123218,Racao
-1015.9814125499724,158.65646215801098,Racao
-1015.5348171425212,158.93650545448872,Racao
-1016.625603127306,153.4276427700479,Racao
-1016.7747706380214,153.33533141083353,Racao
-1016.6568518685563,155.41576478845127,Racao
-1013.1293624122936,154.99058415770924,Racao
-1012.4860501676922,160.2227251970944,Racao
-1008.5095564544554,160.0779085270151,Racao
-1008.3601992804597,160.17232461213098,Racao
-1008.2120974130321,160.26587522732552,Racao
-1008.2119271768024,160.26784236742424,Racao
-1008.0625751425305,160.36221004151594,Racao
-1009.0169245594243,160.36828434403833,Racao
-1009.0166700507634,160.3706811911179,Racao
-1012.9936170827878,168.36746457148183,Racao
-1012.5771397722929,170.63481189459526,Racao
-1009.1982168642662,170.1155134253804,Racao
-1008.8994801418139,170.30426379709388,Racao
-1009.646680880156,169.83637100288615,Racao
-1009.9449547555523,169.652269608614,Racao
-1011.4066813652007,170.03909275775914,Racao
-1011.5561087245933,169.94393501070408,Racao
-1014.7837793590679,170.56108721700912,Racao
-1014.7835999924209,170.56285796768134,Racao
-1012.0635778215201,170.23312080888172,Racao
-1012.2127751035332,170.14049586028523,Racao
-1011.6134435337062,170.516924055888,Racao
-1011.5494407186543,170.81597135560878,Racao
-1012.1463182203752,170.44424205406722,Racao
-1013.8371412701945,172.407986284039,Racao
-1013.656081665742,170.519055592129,Racao
-1007.4419761919598,179.59418818010272,Racao
-1007.7404041745067,179.40850814057922,Racao
-1014.1392292083292,180.0736227914058,Racao
-1013.9897202706543,180.16946191471834,Racao
-1014.1491361867775,180.1097025558338,Racao
-1013.7135064029208,180.43774221115564,Racao
-1013.8839163790653,180.42559427581182,Racao
-1013.8838122651177,180.42656119839376,Racao
-1009.8874447955222,180.20000042621723,Racao
-1009.7591910515239,180.37576225238627,Racao
-1006.09368414247,180.0890830312237,Racao
-1006.6143998215721,179.96816798993677,Racao
-1006.1305679512916,185.13983044058477,Racao
-1005.4782599841856,190.33880514996963,Racao
-1005.3660150002906,190.52699296258834,Racao
-1006.2709945537445,190.39239240589995,Racao
-1006.2582307598204,190.34671427813373,Racao
-1011.0089017995724,191.07936140893253,Racao
-1011.1230984714894,190.86283230922163,Racao
-1007.5960764677784,190.43695021915846,Racao
-1007.3859442005651,190.4199338235194,Racao
-1007.1611760956876,190.76556622347562,Racao
-1007.1397116628796,190.68800465405366,Racao
-1008.2018863409394,191.04087780489863,Racao
-1008.3509777297986,190.94903437747053,Racao
-1011.5787310907635,191.56542924365385,Racao
-1011.2801398465363,191.7528054397808,Racao
-1010.508985991888,198.32821567595056,Racao
-1007.9316973366294,200.93892043565575,Racao
-1007.9934642291119,200.64224626349278,Racao
-1007.6521898837,201.20777315171836,Racao
-1007.6610570087505,201.24229837213898,Racao
-1009.1620062549173,201.28212094366245,Racao
-1009.2563278837424,201.52021704854997,Racao
-1004.070156397227,201.1140854106725,Racao
-1004.0713366523105,201.11426718460098,Racao
-1010.2983699951328,201.7936183384445,Racao
-1010.3208172205887,201.87354512132515,Racao
-1010.3420299890076,201.95398396698147,Racao
-1010.3329669997293,201.9216285650782,Racao
-1010.491031157464,201.8633587993063,Racao
-1009.383248121745,209.7545710494196,Racao
-1009.5320144473299,209.6620491088761,Racao
-1006.5217515676231,206.04807316269216,Racao
-1007.2389998066847,201.17398087583388,Racao
-1002.9151712306684,208.49734615350462,Racao
-1002.4878628330844,210.71549284883804,Racao
-1002.1891546417992,210.90406398191044,Racao
-1001.7413453934023,211.18465360086884,Racao
-1003.1432540821042,210.9138809429278,Racao
-1002.9937611608239,211.004830837006,Racao
-1007.5613920402338,211.70655037927827,Racao
-1007.5601413101704,211.70724540659467,Racao
-1004.1700552765524,211.14178039103717,Racao
-1004.3201412638482,211.04801717476766,Racao
-1004.4602629668643,210.92307229078506,Racao
-1004.2985999813263,210.97117725985663,Racao
-1004.0122386961975,211.20569041081217,Racao
-1004.1741439432099,220.86596450754587,Racao
-1004.3323218746191,220.8064998816153,Racao
-1007.7101212128164,221.32812124879092,Racao
-1007.6900605327846,221.24942184490828,Racao
-1004.9896391433358,221.00044018288463,Racao
-1005.2097384989884,221.067743925576,Racao
-1005.230991907054,221.14760917689273,Racao
-1005.243141504141,221.19556315934096,Racao
-1006.421066404926,221.3282353573195,Racao
-1006.6981511313934,221.06334778892233,Racao
-1001.6947737676328,220.69070344414286,Racao
-1001.6406986648799,221.02645848626344,Racao
-1007.8163668093603,221.62212178611298,Racao
-1007.878025836204,221.73751123833426,Racao
-1008.0274720570869,221.64159689063672,Racao
-1007.1048680178283,227.08698114270737,Racao
-1006.8783433543831,231.2775573072231,Racao
-1006.7927193326941,231.4964462982316,Racao
-1006.8564796695518,231.19986747707117,Racao
-1003.1909787922068,230.9132473629652,Racao
-1003.4221509950949,231.01239578249806,Racao
-999.8354652051312,230.47657974921094,Racao
-999.835561646365,230.47482653539373,Racao
-999.6863085127443,230.56811735648625,Racao
